sample_index,stratum,player_url,visible_name,captured_afltables_url,machine_outcome,recheck_classes,draftguru_evidence,retained_evidence,recommended_verdict,recommendation_reason,operator_verdict,operator_notes
716,random,https://www.draftguru.com.au/players/tom_murphy/1,Tom Murphy,https://afltables.com/afl/stats/players/T/Tom_Murphy.html,target_unregistered,3_target_unregistered;6_numbering,Tom Murphy (title says born 1986); games=18 goals=0 (Aug-2026 capture); draft rows: 2004 National pick 21 Hawthorn; 2012 Free Agency pick None Gold Coast,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),source_discrepancy_same_person,"DraftGuru's captured href names the plain, unsuffixed path (players/T/Tom_Murphy.html), which does not exist in the accepted snapshot -- only the suffixed 0/1 variants do (AFL Tables retroactively numbers every name shared by 2+ players). players/T/Tom_Murphy0.html matches on three independent signals beyond name: games 113/113 exact, birth year ~1986 (from Age at debut) matching the DraftGuru title year, and club history (Hawthorn, Gold Coast) matching exactly (span 2005-2014). This is sufficient corroboration to identify the correct registered target, but the existing bridge contract joins on the literal captured href only and has no suffix-fallback; recommend NOT auto-applying this bridge, and instead routing to operator player-link curation naming players/T/Tom_Murphy0.html as the deterministic correction. Machine outcome (target_unregistered) is correct under the current contract and is left unchanged.",,
884,random,https://www.draftguru.com.au/players/josh_smith/1,Josh Smith,https://afltables.com/afl/stats/players/J/Josh_Smith.html,target_unregistered,3_target_unregistered;6_numbering,Josh Smith (title says born 1986); games=11 goals=2 (Aug-2026 capture); draft rows: 2007 National pick 62 North Melbourne,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),source_discrepancy_same_person,"DraftGuru's captured href names the plain, unsuffixed path (players/J/Josh_Smith.html), which does not exist in the accepted snapshot -- only the suffixed 0/1 variants do (AFL Tables retroactively numbers every name shared by 2+ players). players/J/Josh_Smith0.html matches on three independent signals beyond name: games 11/11 exact, birth year ~1986 (from Age at debut) matching the DraftGuru title year, and club history (North Melbourne) matching exactly (span 2008-2010). This is sufficient corroboration to identify the correct registered target, but the existing bridge contract joins on the literal captured href only and has no suffix-fallback; recommend NOT auto-applying this bridge, and instead routing to operator player-link curation naming players/J/Josh_Smith0.html as the deterministic correction. Machine outcome (target_unregistered) is correct under the current contract and is left unchanged.",,
933,random,https://www.draftguru.com.au/players/stephen_schwerdt/1,Stephen Schwerdt,https://afltables.com/afl/stats/players/S/Steven_Schwerdt.html,target_unregistered,3_target_unregistered;8_schwerdt,Stephen Schwerdt (title says born 1968); games=25 goals=4 (Aug-2026 capture); draft rows: 1989 National pick 78 West Coast; 1990 Pre-Draft pick None Adelaide,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),source_discrepancy_same_person,"Third spelling case confirmed (as the runbook anticipated): DraftGuru's href literally names Steven_Schwerdt.html, which is absent from the accepted snapshot; players/S/Stephen_Schwerdt.html exists and its visible name on DraftGuru's own captured page is already spelled ""Stephen"" (matching the correctly-spelled identity, not the href's ""Steven""). Corroboration beyond name: games 25/25 exact, birth year 1968 exact match (Age at debut), club Adelaide exact match, span 1992-1994. Recommend operator player-link curation to players/S/Stephen_Schwerdt.html rather than auto-applying; machine outcome (target_unregistered) is left unchanged.",,
95,census,https://www.draftguru.com.au/players/dan_curtin/1,Dan Curtin,https://afltables.com/afl/stats/players/D/Daniel_Curtin.html,offline_strong,7_spelling_or_name_variant,Dan Curtin (title says born 2005); games=48 goals=17 (Aug-2026 capture); draft rows: 2023 National pick 8 Adelaide,Daniel Curtin; birth_year=2005; games=32 goals=14; span 2024-2025; clubs=Adelaide,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
278,census,https://www.draftguru.com.au/players/matthew_scharenberg/1,Matthew Scharenberg,https://afltables.com/afl/stats/players/M/Matt_Scharenberg.html,offline_strong,7_spelling_or_name_variant,Matthew Scharenberg (title says born 1995); games=41 goals=0 (Aug-2026 capture); draft rows: 2013 National pick 6 Collingwood,Matt Scharenberg; birth_year=1995; games=41 goals=0; span 2015-2020; clubs=Collingwood,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
474,random,https://www.draftguru.com.au/players/ed_allan/1,Ed Allan,https://afltables.com/afl/stats/players/E/Edward_Allan.html,offline_strong,7_spelling_or_name_variant,Ed Allan (title says born 2004); games=33 goals=8 (Aug-2026 capture); draft rows: 2022 National pick 19 Collingwood,Edward Allan; birth_year=2004; games=15 goals=2; span 2024-2025; clubs=Collingwood,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
539,random,https://www.draftguru.com.au/players/harrison_jones/1,Harrison Jones,https://afltables.com/afl/stats/players/H/Harry_Jones1.html,offline_strong,10_weak_or_suffix_or_continuity;7_spelling_or_name_variant,Harrison Jones (title says born 1999); games=1 goals=0 (Aug-2026 capture); draft rows: 2017 Rookie pick 7 Hawthorn,Harry Jones; birth_year=1999; games=1 goals=0; span 2020-2020; clubs=Hawthorn,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
671,random,https://www.draftguru.com.au/players/harrison_jones/2,Harrison Jones,https://afltables.com/afl/stats/players/H/Harry_Jones2.html,offline_strong,10_weak_or_suffix_or_continuity;7_spelling_or_name_variant,Harrison Jones (title says born 2001); games=66 goals=57 (Aug-2026 capture); draft rows: 2019 National pick 30 Essendon,Harry Jones; birth_year=2001; games=59 goals=55; span 2021-2025; clubs=Essendon,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
703,random,https://www.draftguru.com.au/players/lachlan_fogarty/1,Lachlan Fogarty,https://afltables.com/afl/stats/players/L/Lachie_Fogarty.html,offline_strong,7_spelling_or_name_variant,Lachlan Fogarty (title says born 1999); games=69 goals=30 (Aug-2026 capture); draft rows: 2017 National pick 22 Geelong; 2020 Trade pick None Carlton,"Lachie Fogarty; birth_year=1999; games=90 goals=36; span 2018-2025; clubs=Carlton, Geelong",agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
752,random,https://www.draftguru.com.au/players/ollie_hanrahan/1,Ollie Hanrahan,https://afltables.com/afl/stats/players/O/Oliver_Hanrahan.html,offline_strong,7_spelling_or_name_variant,Ollie Hanrahan (title says born 1998); games=29 goals=18 (Aug-2026 capture); draft rows: 2016 Rookie pick 14 Hawthorn,Oliver Hanrahan; birth_year=1998; games=29 goals=18; span 2019-2021; clubs=Hawthorn,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
793,random,https://www.draftguru.com.au/players/lachie_bramble/1,Lachie Bramble,https://afltables.com/afl/stats/players/L/Lachlan_Bramble.html,offline_strong,7_spelling_or_name_variant,Lachie Bramble (title says born 1998); games=70 goals=11 (Aug-2026 capture); draft rows: 2023 Post-Draft pick None Western Bulldogs,"Lachlan Bramble; birth_year=1998; games=77 goals=9; span 2021-2025; clubs=Hawthorn, Western Bulldogs",agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
830,random,https://www.draftguru.com.au/players/lachie_sullivan/1,Lachie Sullivan,https://afltables.com/afl/stats/players/L/Lachlan_Sullivan.html,offline_strong,7_spelling_or_name_variant,Lachie Sullivan (title says born 1997); games=26 goals=10 (Aug-2026 capture); draft rows: 2023 Post-Draft pick None Collingwood,Lachlan Sullivan; birth_year=1997; games=24 goals=8; span 2024-2025; clubs=Collingwood,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
983,random,https://www.draftguru.com.au/players/matt_cottrell/1,Matt Cottrell,https://afltables.com/afl/stats/players/M/Matthew_Cottrell.html,offline_strong,7_spelling_or_name_variant,Matt Cottrell (title says born 2000); games=86 goals=41 (Aug-2026 capture); draft rows: 2018 Post-Draft pick None Carlton,Matthew Cottrell; birth_year=2000; games=74 goals=36; span 2020-2025; clubs=Carlton,agree,"Listed name-variant pair (diminutive/formal or spelling form); birth year, games and club evidence corroborate the same person beyond the name variant itself. Confirm the variant pairing.",,
89,census,https://www.draftguru.com.au/players/cooper_duff-tytler/1,Cooper Duff-Tytler,https://afltables.com/afl/stats/players/C/Cooper_Duff-Tytler.html,target_unregistered,3_target_unregistered,Cooper Duff-Tytler (title says born 2007); games=16 goals=4 (Aug-2026 capture); draft rows: 2025 National pick 4 West Coast,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
96,census,https://www.draftguru.com.au/players/daniel_annable/1,Daniel Annable,https://afltables.com/afl/stats/players/D/Daniel_Annable.html,target_unregistered,3_target_unregistered,Daniel Annable (title says born 2007); games=3 goals=1 (Aug-2026 capture); draft rows: 2025 National pick 6 Brisbane,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
125,census,https://www.draftguru.com.au/players/dylan_patterson/1,Dylan Patterson,https://afltables.com/afl/stats/players/D/Dylan_Patterson.html,target_unregistered,3_target_unregistered,Dylan Patterson (title says born 2007); games=5 goals=3 (Aug-2026 capture); draft rows: 2025 National pick 5 Gold Coast,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
148,census,https://www.draftguru.com.au/players/harry_dean/1,Harry Dean,https://afltables.com/afl/stats/players/H/Harry_Dean.html,target_unregistered,3_target_unregistered,Harry Dean (title says born 2007); games=20 goals=1 (Aug-2026 capture); draft rows: 2025 National pick 3 Carlton,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
164,census,https://www.draftguru.com.au/players/jacob_farrow/1,Jacob Farrow,https://afltables.com/afl/stats/players/J/Jacob_Farrow.html,target_unregistered,3_target_unregistered,Jacob Farrow (title says born 2007); games=21 goals=4 (Aug-2026 capture); draft rows: 2025 National pick 10 Essendon,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
167,census,https://www.draftguru.com.au/players/jagga_smith/1,Jagga Smith,https://afltables.com/afl/stats/players/J/Jagga_Smith.html,target_unregistered,3_target_unregistered,Jagga Smith (title says born 2006); games=23 goals=8 (Aug-2026 capture); draft rows: 2024 National pick 3 Carlton,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2024 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
343,census,https://www.draftguru.com.au/players/sam_cumming/1,Sam Cumming,https://afltables.com/afl/stats/players/S/Sam_Cumming.html,target_unregistered,3_target_unregistered,Sam Cumming (title says born 2007); games=14 goals=8 (Aug-2026 capture); draft rows: 2025 National pick 7 Richmond,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
346,census,https://www.draftguru.com.au/players/sam_grlj/1,Sam Grlj,https://afltables.com/afl/stats/players/S/Sam_Grlj.html,target_unregistered,3_target_unregistered,Sam Grlj (title says born 2007); games=21 goals=2 (Aug-2026 capture); draft rows: 2025 National pick 8 Richmond,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
368,census,https://www.draftguru.com.au/players/sullivan_robey/1,Sullivan Robey,https://afltables.com/afl/stats/players/S/Sullivan_Robey.html,target_unregistered,3_target_unregistered,Sullivan Robey (title says born 2007); games=15 goals=9 (Aug-2026 capture); draft rows: 2025 National pick 9 Essendon,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
394,census,https://www.draftguru.com.au/players/willem_duursma/1,Willem Duursma,https://afltables.com/afl/stats/players/W/Willem_Duursma.html,target_unregistered,3_target_unregistered,Willem Duursma (title says born 2007); games=22 goals=14 (Aug-2026 capture); draft rows: 2025 National pick 1 West Coast,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
399,census,https://www.draftguru.com.au/players/zeke_uwland/1,Zeke Uwland,https://afltables.com/afl/stats/players/Z/Zeke_Uwland.html,target_unregistered,3_target_unregistered,Zeke Uwland (title says born 2007); games=17 goals=7 (Aug-2026 capture); draft rows: 2025 National pick 2 Gold Coast,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
540,random,https://www.draftguru.com.au/players/toby_murray/1,Toby Murray,https://afltables.com/afl/stats/players/T/Toby_Murray.html,target_unregistered,3_target_unregistered,Toby Murray (title says born 2003); games=13 goals=9 (Aug-2026 capture); draft rows: 2023 Mid-Season pick 7 Adelaide,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2023 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
609,random,https://www.draftguru.com.au/players/mitch_zadow/1,Mitch Zadow,https://afltables.com/afl/stats/players/M/Mitch_Zadow.html,target_unregistered,3_target_unregistered,Mitch Zadow (title says born 2004); games=9 goals=8 (Aug-2026 capture); draft rows: 2025 Post-Draft pick None Port Adelaide,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
656,random,https://www.draftguru.com.au/players/billy_cootee/1,Billy Cootee,https://afltables.com/afl/stats/players/B/Billy_Cootee.html,target_unregistered,3_target_unregistered,Billy Cootee (title says born 2002); games=9 goals=12 (Aug-2026 capture); draft rows: 2025 National pick 42 Sydney,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
677,random,https://www.draftguru.com.au/players/milan_murdock/1,Milan Murdock,https://afltables.com/afl/stats/players/M/Milan_Murdock.html,target_unregistered,3_target_unregistered,Milan Murdock (title says born 2000); games=20 goals=19 (Aug-2026 capture); draft rows: 2025 Post-Draft pick None West Coast,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
678,random,https://www.draftguru.com.au/players/angus_anderson/1,Angus Anderson,https://afltables.com/afl/stats/players/A/Angus_Anderson.html,target_unregistered,3_target_unregistered,Angus Anderson (title says born 2003); games=16 goals=18 (Aug-2026 capture); draft rows: 2025 National pick 57 Collingwood,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2025 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
711,random,https://www.draftguru.com.au/players/josh_lai/1,Josh Lai,https://afltables.com/afl/stats/players/J/Josh_Lai.html,target_unregistered,3_target_unregistered,Josh Lai (title says born 2005); games=19 goals=0 (Aug-2026 capture); draft rows: 2024 Post-Draft pick None Port Adelaide,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),withhold,"No retained evidence exists at all for this identity (absent from the accepted snapshot's 13,275-URL set through season 2025). Earliest DraftGuru draft year 2024 is consistent with the measured finding (§10.3) that all 101 target_not_registered paths in the full child are simply not yet in the accepted historical baseline, not a staleness or misregistration defect. Continued withholding recommended; no forced match.",,
