sample_index,stratum,player_url,expected_afltables_identity,child_status,outcome,reason_codes,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,earliest_recruitment_year,earliest_recruitment_event_type,numeric_suffix,continuity_rule_url,name_variant,known_exception_class,ledger_status,weak_evidence,operator_review_required,missing_fields
26,census,https://www.draftguru.com.au/players/andrew_rogers/1,players/A/Andrew_Rogers.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Rogers,1964,1964,1988,1992,83,1987,,False,False,False,,none,False,False,
27,census,https://www.draftguru.com.au/players/andrew_walker/1,players/A/Andrew_Walker.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Walker,1986,1986,2004,2016,202,2003,National,False,False,False,,none,False,False,
28,census,https://www.draftguru.com.au/players/angus_brayshaw/1,players/A/Angus_Brayshaw.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Angus Brayshaw,1996,1996,2015,2023,167,2014,National,False,False,False,,none,False,False,
29,census,https://www.draftguru.com.au/players/anthony_banik/1,players/A/Anthony_Banik.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Anthony Banik,1973,1973,1990,1994,49,1989,National,False,False,False,,none,False,False,
30,census,https://www.draftguru.com.au/players/anthony_morabito/1,players/A/Anthony_Morabito.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Anthony Morabito,1991,1992,2010,2014,26,2009,National,False,False,False,,none,False,False,
31,census,https://www.draftguru.com.au/players/anthony_rocca/1,players/A/Anthony_Rocca.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Anthony Rocca,1977,1977,1995,2009,242,1994,National,False,False,False,,none,False,False,
32,census,https://www.draftguru.com.au/players/archie_perkins/1,players/A/Archie_Perkins.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Archie Perkins,2002,2002,2021,2025,101,2020,National,False,False,False,,none,False,False,
33,census,https://www.draftguru.com.au/players/ashley_sampi/1,players/A/Ashley_Sampi.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Ashley Sampi,1984,1984,2002,2006,78,2001,National,False,False,False,,none,False,False,
34,census,https://www.draftguru.com.au/players/bailey_humphrey/1,players/B/Bailey_Humphrey.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Bailey Humphrey,2004,2004,2023,2025,63,2022,National,False,False,False,,none,False,False,
35,census,https://www.draftguru.com.au/players/bailey_smith/2,players/B/Bailey_Smith.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Bailey Smith,2000,2000,2019,2025,126,2018,National,False,False,False,,none,False,False,
36,census,https://www.draftguru.com.au/players/beau_dowler/1,players/B/Beau_Dowler.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Beau Dowler,1987,1987,2006,2009,16,2005,National,False,False,False,,none,False,False,
37,census,https://www.draftguru.com.au/players/ben_ainsworth/1,players/B/Ben_Ainsworth.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Ben Ainsworth,1998,1998,2017,2025,158,2016,National,False,False,False,,none,False,False,
38,census,https://www.draftguru.com.au/players/ben_cunnington/1,players/B/Ben_Cunnington.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Ben Cunnington,1991,1991,2010,2023,238,2009,National,False,False,False,,none,False,False,
39,census,https://www.draftguru.com.au/players/ben_king/1,players/B/Ben_King.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Ben King,2000,2000,2019,2025,120,2018,National,False,False,False,,none,False,False,
40,census,https://www.draftguru.com.au/players/ben_mcevoy/1,players/B/Ben_McEvoy.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Ben McEvoy,1989,1989,2008,2022,252,2007,National,False,False,False,,none,False,False,
41,census,https://www.draftguru.com.au/players/ben_reid/1,players/B/Ben_Reid.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Ben Reid,1989,1989,2007,2020,152,2006,National,False,False,False,,none,False,False,
42,census,https://www.draftguru.com.au/players/ben_wilson/1,players/B/Ben_Wilson.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Ben Wilson,1977,1977,1996,1997,6,1994,National,False,False,False,,none,False,False,
43,census,https://www.draftguru.com.au/players/bill_lokan/1,players/B/Bill_Lokan.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Bill Lokan,1959,1960,1983,1988,87,1982,,False,False,False,,none,False,False,
44,census,https://www.draftguru.com.au/players/billy_longer/1,players/B/Billy_Longer.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Billy Longer,1993,1993,2012,2019,66,2011,National,False,False,False,,none,False,False,
45,census,https://www.draftguru.com.au/players/blake_caracella/1,players/B/Blake_Caracella.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Blake Caracella,1977,1977,1997,2006,187,1994,National,False,False,False,,none,False,False,
46,census,https://www.draftguru.com.au/players/bowen_lockwood/1,players/B/Bowen_Lockwood.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Bowen Lockwood,1978,1978,1997,2001,50,1996,National,False,False,False,,none,False,False,
47,census,https://www.draftguru.com.au/players/brad_ottens/1,players/B/Brad_Ottens.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brad Ottens,1980,1980,1998,2011,245,1997,National,False,False,False,,none,False,False,
48,census,https://www.draftguru.com.au/players/brad_rowe/1,players/B/Brad_Rowe.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brad Rowe,1969,1970,1990,1996,73,1989,National,False,False,False,,none,False,False,
49,census,https://www.draftguru.com.au/players/brad_sheppard/1,players/B/Brad_Sheppard.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brad Sheppard,1991,1991,2010,2021,216,2009,National,False,False,False,,none,False,False,
50,census,https://www.draftguru.com.au/players/brad_tunbridge/1,players/B/Brad_Tunbridge.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brad Tunbridge,1964,1964,1990,1993,50,1989,National,False,False,False,,none,False,False,
51,census,https://www.draftguru.com.au/players/braeden_campbell/1,players/B/Braeden_Campbell.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Braeden Campbell,2002,2002,2021,2025,94,2020,National,False,False,False,,none,False,False,
52,census,https://www.draftguru.com.au/players/brendan_krummel/1,players/B/Brendan_Krummel.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brendan Krummel,1972,1972,1992,2000,74,1991,National,False,False,False,,none,False,False,
53,census,https://www.draftguru.com.au/players/brendon_fewster/1,players/B/Brendon_Fewster.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brendon Fewster,1974,1974,1996,2002,70,1995,National,False,False,False,,none,False,False,
54,census,https://www.draftguru.com.au/players/brendon_goddard/1,players/B/Brendon_Goddard.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brendon Goddard,1985,1985,2003,2018,334,2002,National,False,False,False,,none,False,False,
55,census,https://www.draftguru.com.au/players/brenton_phillips/1,players/B/Brenton_Phillips.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brenton Phillips,1962,1963,1986,1991,71,1982,,False,False,False,,none,False,False,
56,census,https://www.draftguru.com.au/players/brett_chalmers/1,players/B/Brett_Chalmers.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brett Chalmers,1973,1973,1994,1999,75,1989,National,False,False,False,,none,False,False,
57,census,https://www.draftguru.com.au/players/brett_deledio/1,players/B/Brett_Deledio.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brett Deledio,1987,1987,2005,2019,275,2004,National,False,False,False,,none,False,False,
58,census,https://www.draftguru.com.au/players/brock_mclean/1,players/B/Brock_McLean.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Brock McLean,1986,1986,2004,2014,157,2003,National,False,False,False,,none,False,False,
59,census,https://www.draftguru.com.au/players/bryce_gibbs/1,players/B/Bryce_Gibbs.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Bryce Gibbs,1989,1989,2007,2020,268,2006,National,False,False,False,,none,False,False,
60,census,https://www.draftguru.com.au/players/cale_morton/1,players/C/Cale_Morton.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Cale Morton,1990,1990,2008,2013,76,2007,National,False,False,False,,none,False,False,
61,census,https://www.draftguru.com.au/players/caleb_marchbank/1,players/C/Caleb_Marchbank.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Caleb Marchbank,1996,1996,2015,2024,63,2014,National,False,False,False,,none,False,False,
62,census,https://www.draftguru.com.au/players/caleb_serong/1,players/C/Caleb_Serong.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Caleb Serong,2001,2001,2020,2025,127,2019,National,False,False,False,,none,False,False,
63,census,https://www.draftguru.com.au/players/caleb_windsor/1,players/C/Caleb_Windsor.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Caleb Windsor,2005,2005,2024,2025,36,2023,National,False,False,False,,none,False,False,
64,census,https://www.draftguru.com.au/players/callum_ah%20chee/1,players/C/Callum_Ah_Chee.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Callum Ah Chee,1997,1997,2016,2025,169,2015,National,False,False,False,,none,False,False,
65,census,https://www.draftguru.com.au/players/callum_mills/1,players/C/Callum_Mills.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Callum Mills,1997,1997,2016,2025,174,2015,National,False,False,False,,none,False,False,
66,census,https://www.draftguru.com.au/players/cam_mackenzie/1,players/C/Cam_Mackenzie.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Cam Mackenzie,2004,2004,2023,2025,46,2022,National,False,False,False,,none,False,False,
67,census,https://www.draftguru.com.au/players/cam_rayner/1,players/C/Cam_Rayner.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Cam Rayner,1999,1999,2018,2025,167,2017,National,False,False,False,,none,False,False,
68,census,https://www.draftguru.com.au/players/carl_dilena/1,players/C/Carl_Dilena.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Carl Dilena,1967,1967,1989,1992,33,1988,National,False,False,False,,none,False,False,
69,census,https://www.draftguru.com.au/players/caydn_beetham/1,players/C/Caydn_Beetham.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Caydn Beetham,1982,1982,2000,2002,37,1999,National,False,False,False,,none,False,False,
70,census,https://www.draftguru.com.au/players/chad_cornes/1,players/C/Chad_Cornes.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Chad Cornes,1979,1980,1999,2012,255,1997,National,False,False,False,,none,False,False,
71,census,https://www.draftguru.com.au/players/chad_wingard/1,players/C/Chad_Wingard.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Chad Wingard,1993,1993,2012,2023,218,2011,National,False,False,False,,none,False,False,
72,census,https://www.draftguru.com.au/players/chayce_jones/1,players/C/Chayce_Jones.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Chayce Jones,2000,2000,2019,2025,97,2018,National,False,False,False,,none,False,False,
73,census,https://www.draftguru.com.au/players/chris_egan/1,players/C/Chris_Egan.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Chris Egan,1986,1986,2005,2008,27,2004,National,False,False,False,,none,False,False,
74,census,https://www.draftguru.com.au/players/chris_heffernan/1,players/C/Chris_Heffernan.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Chris Heffernan,1979,1978,1997,2007,170,1996,National,False,False,False,,none,False,False,
75,census,https://www.draftguru.com.au/players/chris_johnson/1,players/C/Chris_Johnson0.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Chris Johnson,1976,1976,1994,2007,264,1993,National,True,False,False,,none,False,True,
76,census,https://www.draftguru.com.au/players/chris_judd/1,players/C/Chris_Judd.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Chris Judd,1983,1983,2002,2015,279,2001,National,False,False,False,,none,False,False,
