category,draftguru_url,captured_href_or_ledger,retained_or_corrected_identity,target_span_or_birth_years,target_games_or_dg_games,event_year,event_kind,sample_bucket,child_status,affected_pick_count,recommended_disposition,operator_verdict
relisting_signature_review,https://www.draftguru.com.au/players/ian_rickman/1,players/I/Ian_Rickman.html,Ian Rickman,1982-1984,11,1989,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/jason_daniltchenko/1,players/J/Jason_Daniltchenko.html,Jason Daniltchenko,1993-1997,29,1997,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/john_ahern/1,players/J/John_Ahern.html,John Ahern,1989-1989,2,1990,Trade,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/john_fidge/1,players/J/John_Fidge.html,John Fidge,1984-1989,59,1989,Pre-Draft,random,bridged,2,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/john_peter-budge/1,players/J/John_Peter-Budge.html,John Peter-Budge,1986-1988,45,1990,National,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/justin_pickering/1,players/J/Justin_Pickering.html,Justin Pickering,1988-1991,59,1991,National,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/lynton_fitzpatrick/1,players/L/Lynton_Fitzpatrick.html,Lynton Fitzpatrick,1987-1989,18,1989,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/mark_majerczak/1,players/M/Mark_Majerczak.html,Mark Majerczak,1987-1991,17,1991,Pre-Season,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/mark_mcleod/1,players/M/Mark_McLeod.html,Mark McLeod,1989-1989,3,1990,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/mark_o'donoghue/1,players/M/Mark_ODonoghue.html,Mark ODonoghue,1988-1988,2,1988,Trade,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/mark_pitura/1,players/M/Mark_Pitura.html,Mark Pitura,1993-1993,2,1995,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/michael_garvey/1,players/M/Michael_Garvey.html,Michael Garvey,1988-1989,3,1989,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/nathan_irvin/1,players/N/Nathan_Irvin.html,Nathan Irvin,1993-1993,1,1994,National,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/paul_mifka/1,players/P/Paul_Mifka.html,Paul Mifka,1987-1987,1,1990,Pre-Draft,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/paul_tuddenham/1,players/P/Paul_Tuddenham.html,Paul Tuddenham,1987-1991,40,1991,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/peter_baldwin/1,players/P/Peter_Baldwin.html,Peter Baldwin,1987-1990,5,1990,Pre-Season,non_sample,bridged,2,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/peter_freeman/1,players/P/Peter_Freeman.html,Peter Freeman,1988-1990,5,1991,National,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/peter_whyte/1,players/P/Peter_Whyte.html,Peter Whyte,1986-1988,22,1990,National,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/ricky_jackson/1,players/R/Ricky_Jackson.html,Ricky Jackson,1986-1991,80,1991,Trade,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/robert_walker/1,players/R/Robert_Walker.html,Robert Walker,1990-1992,5,1992,Pre-Season,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/rodney_gladman/1,players/R/Rodney_Gladman.html,Rodney Gladman,1987-1987,1,1989,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/simon_hawking/1,players/S/Simon_Hawking.html,Simon Hawking,1993-1996,60,1996,Pre-Draft,non_sample,bridged,3,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/simon_luhrs/1,players/S/Simon_Luhrs.html,Simon Luhrs,1991-1992,12,1992,Mid-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/simon_taylor/1,players/S/Simon_Taylor0.html,Simon Taylor,1989-1989,2,1991,Pre-Season,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/tim_bourke/1,players/T/Tim_Bourke.html,Tim Bourke,1989-1990,5,1991,Trade,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/tony_elshaug/1,players/T/Tony_Elshaug.html,Tony Elshaug,1979-1988,137,1988,Pre-Season,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/tony_furey/1,players/T/Tony_Furey.html,Tony Furey,1983-1985,41,1988,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/warren_dean/1,players/W/Warren_Dean.html,Warren Dean,1987-1989,32,1989,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
suspected_source_mislink,https://www.draftguru.com.au/players/adrian_deluca/1,players/A/Adrian_De_Luca.html,Adrian De Luca,2004-2006,46,,OTHER_CONTRADICTION:SURNAME_DIFFERENT,non_sample,bridged,1,manual_curation,
suspected_source_mislink,https://www.draftguru.com.au/players/setanta_%C3%B3%20hailp%C3%ADn/1,players/S/Setanta_OhAilpin.html,Setanta OhAilpin,2005-2013,88,,OTHER_CONTRADICTION:SURNAME_DIFFERENT,non_sample,bridged,2,manual_curation,
source_discrepancy_same_person,https://www.draftguru.com.au/players/aaron_black/1,players/A/Aaron_Black.html,players/A/Aaron_Black0.html,,,,,non_sample,target_not_registered,2,manual_curation,
source_discrepancy_same_person,https://www.draftguru.com.au/players/alwyn_davey/1,players/A/Alwyn_Davey.html,players/A/Alwyn_Davey0.html,,,,,non_sample,target_not_registered,1,manual_curation,
source_discrepancy_same_person,https://www.draftguru.com.au/players/joel_smith/1,players/J/Joel_Smith.html,players/J/Joel_Smith0.html,,,,,census,target_not_registered,2,manual_curation,
source_discrepancy_same_person,https://www.draftguru.com.au/players/josh_smith/1,players/J/Josh_Smith.html,players/J/Josh_Smith0.html,,,,,random,target_not_registered,1,manual_curation,
source_discrepancy_same_person,https://www.draftguru.com.au/players/sam_butler/1,players/S/Sam_Butler.html,players/S/Sam_Butler0.html,,,,,non_sample,target_not_registered,1,manual_curation,
source_discrepancy_same_person,https://www.draftguru.com.au/players/stephen_schwerdt/1,players/S/Steven_Schwerdt.html,players/S/Stephen_Schwerdt.html,,,,,random,target_not_registered,2,manual_curation,
source_discrepancy_same_person,https://www.draftguru.com.au/players/tom_murphy/1,players/T/Tom_Murphy.html,players/T/Tom_Murphy0.html,,,,,random,target_not_registered,2,manual_curation,
human_authority_overlap,https://www.draftguru.com.au/players/matt_rendell/1,linked_agreeing,Matthew Rendell,,,,,non_sample,bridged,1,retain_human_authority,
human_authority_overlap,https://www.draftguru.com.au/players/nathan_fyfe/1,linked_agreeing,Nat Fyfe,,,,,non_sample,bridged,1,retain_human_authority,
human_authority_overlap,https://www.draftguru.com.au/players/ryan_o'keefe/1,linked_agreeing,Ryan OKeefe,,,,,non_sample,bridged,1,retain_human_authority,
