section,draftguru_url,draftguru_name,captured_href,retained_or_corrected_name,retained_or_corrected_birth_year,draftguru_birth_year,draftguru_games,retained_career_span_or_games,event_year,event_kind,classification_or_reason,sample_status_or_stratum,allowed_verdicts,operator_verdict,operator_notes
1_relisting_signature,https://www.draftguru.com.au/players/john_peter-budge/1,John Peter-Budge,players/J/John_Peter-Budge.html,John Peter-Budge,1968,1968,0,1986-1988/45,1990,National,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/justin_pickering/1,Justin Pickering,players/J/Justin_Pickering.html,Justin Pickering,1967,1967,0,1988-1991/59,1991,National,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/lynton_fitzpatrick/1,Lynton Fitzpatrick,players/L/Lynton_Fitzpatrick.html,Lynton Fitzpatrick,1967,1967,0,1987-1989/18,1989,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/mark_majerczak/1,Mark Majerczak,players/M/Mark_Majerczak.html,Mark Majerczak,1968,1968,0,1987-1991/17,1991,Pre-Season,companion_21,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/mark_mcleod/1,Mark McLeod,players/M/Mark_McLeod.html,Mark McLeod,1969,1968,0,1989-1989/3,1990,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/mark_o'donoghue/1,Mark O'Donoghue,players/M/Mark_ODonoghue.html,Mark ODonoghue,1967,1967,0,1988-1988/2,1988,Trade,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/mark_pitura/1,Mark Pitura,players/M/Mark_Pitura.html,Mark Pitura,1974,1974,0,1993-1993/2,1995,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/michael_garvey/1,Michael Garvey,players/M/Michael_Garvey.html,Michael Garvey,1965,1965,0,1988-1989/3,1989,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/nathan_irvin/1,Nathan Irvin,players/N/Nathan_Irvin.html,Nathan Irvin,1973,1973,0,1993-1993/1,1994,National,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/paul_mifka/1,Paul Mifka,players/P/Paul_Mifka.html,Paul Mifka,1965,1965,0,1987-1987/1,1990,Pre-Draft,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/paul_tuddenham/1,Paul Tuddenham,players/P/Paul_Tuddenham.html,Paul Tuddenham,1967,1967,0,1987-1991/40,1991,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/peter_baldwin/1,Peter Baldwin,players/P/Peter_Baldwin.html,Peter Baldwin,1968,1968,0,1987-1990/5,1990,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/peter_freeman/1,Peter Freeman,players/P/Peter_Freeman.html,Peter Freeman,1969,1969,0,1988-1990/5,1991,National,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/peter_whyte/1,Peter Whyte,players/P/Peter_Whyte.html,Peter Whyte,1969,1969,0,1986-1988/22,1990,National,original_23,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/ricky_jackson/1,Ricky Jackson,players/R/Ricky_Jackson.html,Ricky Jackson,1967,1967,0,1986-1991/80,1991,Trade,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/robert_walker/1,Robert Walker,players/R/Robert_Walker.html,Robert Walker,1970,1970,0,1990-1992/5,1992,Pre-Season,companion_21,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/rodney_gladman/1,Rodney Gladman,players/R/Rodney_Gladman.html,Rodney Gladman,1968,1968,0,1987-1987/1,1989,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/simon_hawking/1,Simon Hawking,players/S/Simon_Hawking.html,Simon Hawking,1973,1973,0,1993-1996/60,1996,Pre-Draft,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/simon_luhrs/1,Simon Luhrs,players/S/Simon_Luhrs.html,Simon Luhrs,1970,1970,0,1991-1992/12,1992,Mid-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/simon_taylor/1,Simon Taylor,players/S/Simon_Taylor0.html,Simon Taylor,1970,1970,0,1989-1989/2,1991,Pre-Season,original_23,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/tim_bourke/1,Tim Bourke,players/T/Tim_Bourke.html,Tim Bourke,1969,1969,0,1989-1990/5,1991,Trade,original_23,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/tony_elshaug/1,Tony Elshaug,players/T/Tony_Elshaug.html,Tony Elshaug,1960,1960,0,1979-1988/137,1988,Pre-Season,companion_21,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/tony_furey/1,Tony Furey,players/T/Tony_Furey.html,Tony Furey,1963,1963,0,1983-1985/41,1988,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/warren_dean/1,Warren Dean,players/W/Warren_Dean.html,Warren Dean,1964,1964,0,1987-1989/32,1989,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
2_suspected_tokenisation,https://www.draftguru.com.au/players/adrian_deluca/1,Adrian Deluca,players/A/Adrian_De_Luca.html,Adrian De Luca,1982,1982,46,2004-2006/46,,,OTHER_CONTRADICTION:SURNAME_DIFFERENT,non_sample,same_person_valid_href|different_person_wrong_href|undetermined_withhold,,
2_suspected_tokenisation,https://www.draftguru.com.au/players/setanta_%C3%B3%20hailp%C3%ADn/1,Setanta Ó hAilpín,players/S/Setanta_OhAilpin.html,Setanta OhAilpin,1983,1983,88,2005-2013/88,,,OTHER_CONTRADICTION:SURNAME_DIFFERENT,non_sample,same_person_valid_href|different_person_wrong_href|undetermined_withhold,,
3_source_discrepancy,https://www.draftguru.com.au/players/tom_murphy/1,Tom Murphy,players/T/Tom_Murphy.html,Tom Murphy,1986,1986,113,113,,,players/T/Tom_Murphy0.html,,approve_manual_curation|reject_candidate|undetermined_withhold,,
3_source_discrepancy,https://www.draftguru.com.au/players/joel_smith/1,Joel Smith,players/J/Joel_Smith.html,Joel Smith,1977,1977,221,221,,,players/J/Joel_Smith0.html,,approve_manual_curation|reject_candidate|undetermined_withhold,,
3_source_discrepancy,https://www.draftguru.com.au/players/josh_smith/1,Josh Smith,players/J/Josh_Smith.html,Josh Smith,1986,1986,11,11,,,players/J/Josh_Smith0.html,,approve_manual_curation|reject_candidate|undetermined_withhold,,
3_source_discrepancy,https://www.draftguru.com.au/players/stephen_schwerdt/1,Stephen Schwerdt,players/S/Steven_Schwerdt.html,Stephen Schwerdt,1968,1968,25,25,,,players/S/Stephen_Schwerdt.html,,approve_manual_curation|reject_candidate|undetermined_withhold,,
3_source_discrepancy,https://www.draftguru.com.au/players/aaron_black/1,Aaron Black,players/A/Aaron_Black.html,Aaron Black,1990,1990,57,57,,,players/A/Aaron_Black0.html,,approve_manual_curation|reject_candidate|undetermined_withhold,,
3_source_discrepancy,https://www.draftguru.com.au/players/alwyn_davey/1,Alwyn Davey,players/A/Alwyn_Davey.html,Alwyn Davey,1984,1984,100,100,,,players/A/Alwyn_Davey0.html,,approve_manual_curation|reject_candidate|undetermined_withhold,,
3_source_discrepancy,https://www.draftguru.com.au/players/sam_butler/1,Sam Butler,players/S/Sam_Butler.html,Sam Butler,1986,1986,166,166,,,players/S/Sam_Butler0.html,,approve_manual_curation|reject_candidate|undetermined_withhold,,
4_thirty_row_audit,https://www.draftguru.com.au/players/chad_morrison/1,Chad Morrison,players/C/Chad_Morrison.html,,1978,1978,,1996-2006/169,1994,Pre-Draft,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/ben_speight/1,Ben Speight,players/B/Ben_Speight.html,,1990,1990,,2010-2011/10,2008,Rookie,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/matt_clape/1,Matt Clape,players/M/Matt_Clape.html,,1969,1969,,1992-1998/87,1990,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/jarrad_mcveigh/1,Jarrad McVeigh,players/J/Jarrad_McVeigh.html,,1985,1985,,2004-2019/325,2002,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/jamarra_ugle-hagan/1,Jamarra Ugle-Hagan,players/J/Jamarra_Ugle-Hagan.html,,2002,2002,,2021-2024/67,2020,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/stephen_coniglio/1,Stephen Coniglio,players/S/Stephen_Coniglio.html,,1993,1993,,2012-2025/227,2011,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/sean_denham/1,Sean Denham,players/S/Sean_Denham.html,,1969,1969,,1987-2000/186,,,BIRTH_YEAR_CONSISTENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/zach_reid/1,Zach Reid,players/Z/Zach_Reid.html,,2002,2002,,2021-2025/19,2020,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/nick_mitchell/1,Nick Mitchell,players/N/Nick_Mitchell.html,,1973,1973,,1994-1995/9,1992,Pre-Season,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/cameron_venables/1,Cameron Venables,players/C/Cameron_Venables.html,,1976,1975,,1999-1999/3,1996,Rookie,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/jake_stringer/1,Jake Stringer,players/J/Jake_Stringer.html,,1994,1994,,2013-2025/227,2012,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/bryce_retzlaff/1,Bryce Retzlaff,players/B/Bryce_Retzlaff.html,,1991,1991,,2011-2011/11,2009,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/ken_judge/1,Ken Judge,players/K/Ken_Judge.html,,1958,1958,,1983-1988/89,1981,,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/dean_turner/1,Dean Turner,players/D/Dean_Turner.html,,1960,1959,,1984-1990/110,1981,,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/jesse_dattoli/1,Jesse Dattoli,players/J/Jesse_Dattoli.html,,2006,2006,,2025-2025/3,2024,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/jeff_white/1,Jeff White,players/J/Jeff_White.html,,1977,1977,,1995-2008/268,1994,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/matthew_kreuzer/1,Matthew Kreuzer,players/M/Matthew_Kreuzer.html,,1989,1989,,2008-2020/189,2007,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/paddy_ryder/1,Paddy Ryder,players/P/Paddy_Ryder.html,,1988,1988,,2006-2022/281,2005,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/ty_zantuck/1,Ty Zantuck,players/T/Ty_Zantuck.html,,1982,1982,,2000-2005/77,1999,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/david_ogg/1,David Ogg,players/D/David_Ogg.html,,1968,1967,,1991-1991/9,1990,National,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/wayne_hernaman/1,Wayne Hernaman,players/W/Wayne_Hernaman.html,,1972,1972,,1993-1994/20,1992,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/peter_matera/1,Peter Matera,players/P/Peter_Matera.html,,1969,1969,,1990-2002/253,1989,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/will_schofield/1,Will Schofield,players/W/Will_Schofield.html,,1988,1989,,2007-2020/194,2006,National,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/andrew_purser/1,Andrew Purser,players/A/Andrew_Purser.html,,1959,1958,,1983-1987/112,1982,,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/daniel_healy/1,Daniel Healy,players/D/Daniel_Healy.html,,1974,1974,,1996-1999/38,1995,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/will_hams/1,Will Hams,players/W/Will_Hams.html,,1994,1994,,2013-2016/13,2012,Pre-Season,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/darren_baxter/1,Darren Baxter,players/D/Darren_Baxter.html,,1965,1965,,1984-1994/156,,,BIRTH_YEAR_CONSISTENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/josh_wooden/1,Josh Wooden,players/J/Josh_Wooden.html,,1979,1978,,1997-2006/96,1996,National,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/darcy_tucker/1,Darcy Tucker,players/D/Darcy_Tucker.html,,1997,1997,,2016-2025/156,2015,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,random,agree|contradict|undetermined,,
4_thirty_row_audit,https://www.draftguru.com.au/players/tim_taranto/1,Tim Taranto,players/T/Tim_Taranto.html,,1998,1998,,2017-2025/173,2016,National,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,census,agree|contradict|undetermined,,
