source_key,draft_year,competition,selection_pick,selection_raw,club,drafted_player,drafted_games_reported,drafted_profile,drafted_link,drafted_note,father,father_games_reported,father_profile,father_link,father_note
wikipedia-father-son-rule:1995:01,1995,pre-draft,,,Richmond,Joel Bowden,265,players/J/Joel_Bowden.html,unique,"name, debut 1996 within 1995..2002, played for the club; games corroborated",Michael Bowden,57,players/M/Michael_Bowden.html,unique,"name, debut 1967 at least 15 seasons before 1995, played for the club; list games differ from AFLDB (club-grain figure)"
wikipedia-father-son-rule:1995:02,1995,pre-draft,,,West Coast,Ben Cousins,238,players/B/Ben_Cousins.html,unique,"name, debut 1996 within 1995..2002, played for the club; games corroborated",Bryan Cousins,238 (Perth),players/B/Bryan_Cousins.html,resolved,"adjudicated (2026-09-05): Qualifying club is Perth (WAFL). Wikipedia 'Bryan Cousins': recruited to Geelong, debut 1975, 67 games to 1979, then Perth to 1987; father of Ben Cousins. The only Bryan Cousins on AFL Tables is Geelong 1975–1979, 67 games."
wikipedia-father-son-rule:1995:03,1995,pre-draft,,,Geelong,Simon Fletcher,0,,unmatched,never played a VFL/AFL match (list: 0 games),Garry Fletcher,N/A (Administrator),,unmatched,no VFL/AFL career (list: N/A (Administrator))
wikipedia-father-son-rule:1995:04,1995,pre-draft,,,Richmond,Nick Jewell,1,players/N/Nick_Jewell.html,unique,"name, debut 1997 within 1995..2002, played for the club; games corroborated",Tony Jewell,80,players/T/Tony_Jewell.html,unique,"name, debut 1964 at least 15 seasons before 1995, played for the club; games corroborated"
wikipedia-father-son-rule:1995:05,1995,pre-draft,,,Footscray,David Round,2,players/D/David_Round.html,unique,"name, debut 1997 within 1995..2002, played for the club; games corroborated",Barry Round,135,players/B/Barry_Round.html,unique,"name, debut 1969 at least 15 seasons before 1995, played for the club; games corroborated"
wikipedia-father-son-rule:1995:06,1995,pre-draft,,,Carlton,David Walls,0,,unmatched,never played a VFL/AFL match (list: 0 games),Robert Walls,215,players/R/Robert_Walls.html,unique,"name, debut 1967 at least 15 seasons before 1995, played for the club; list games differ from AFLDB (club-grain figure)"
wikipedia-father-son-rule:1996:01,1996,pre-draft,,,Carlton,Lance Whitnall,216,players/L/Lance_Whitnall.html,unique,"name, debut 1997 within 1996..2003, played for the club; games corroborated",Graeme Whitnall,66,players/G/Graeme_Whitnall.html,unique,"name, debut 1974 at least 15 seasons before 1996, played for the club; games corroborated"
wikipedia-father-son-rule:1997:01,1997,national,29,29,Geelong,Marc Woolnough,6,players/M/Marc_Woolnough.html,unique,"name, debut 1998 within 1997..2004, played for the club; games corroborated",Michael Woolnough,117,players/M/Michael_Woolnough.html,unique,"name, debut 1971 at least 15 seasons before 1997, played for the club; games corroborated"
wikipedia-father-son-rule:1997:02,1997,national,45,45,Geelong,Matthew Scarlett,284,players/M/Matthew_Scarlett.html,unique,"name, debut 1998 within 1997..2004, played for the club; games corroborated",John Scarlett,183,players/J/John_Scarlett.html,unique,"name, debut 1967 at least 15 seasons before 1997, played for the club; games corroborated"
wikipedia-father-son-rule:1998:01,1998,national,35,35,Collingwood,Brad Oborne,5,players/B/Brad_Oborne.html,unique,"name, debut 1999 within 1998..2005, played for the club; games corroborated",Rod Oborne,87,players/R/Rod_Oborne.html,unique,"name, debut 1972 at least 15 seasons before 1998, played for the club; games corroborated"
wikipedia-father-son-rule:1998:02,1998,national,28,28,Sydney,Heath James,18,players/H/Heath_James.html,unique,"name, debut 1999 within 1998..2005, played for the club; games corroborated",Max James,54 (South Melbourne),players/M/Max_James.html,unique,"name, debut 1978 at least 15 seasons before 1998, played for the club; games corroborated"
wikipedia-father-son-rule:1998:03,1998,national,21,21,Geelong,David Clarke,89,players/D/David_Clarke1.html,unique,"name, debut 1999 within 1998..2005, played for the club; games corroborated",David Clarke,207,players/D/David_Clarke0.html,unique,"name, debut 1971 at least 15 seasons before 1998, played for the club; list games differ from AFLDB (club-grain figure)"
wikipedia-father-son-rule:1998:04,1998,national,19,19,Collingwood,Nick Davis,71,players/N/Nick_Davis.html,unique,"name, debut 1999 within 1998..2005, played for the club; games corroborated",Craig Davis,102,players/C/Craig_Davis.html,unique,"name, debut 1973 at least 15 seasons before 1998, played for the club; games corroborated"
wikipedia-father-son-rule:1999:01,1999,national,30,30,Brisbane Lions,Jonathan Brown,256,players/J/Jonathan_Brown.html,unique,"name, debut 2000 within 1999..2006, played for the club; games corroborated",Brian Brown,51 (Fitzroy),players/B/Brian_Brown.html,unique,"name, debut 1976 at least 15 seasons before 1999, played for the club; games corroborated"
wikipedia-father-son-rule:1999:02,1999,national,44,44,Brisbane Lions,Shane Morrison,5,players/S/Shane_Morrison.html,unique,"name, debut 2002 within 1999..2006, played for the club; games corroborated",Peter Morrison,"Unknown (W.G., Mayne)",,unmatched,"adjudicated unlinked (2026-09-05): Left unlinked. The list records the father's games as 'Unknown (W.G., Mayne)' — a Queensland (QAFL) qualification; the one Peter Morrison on AFL Tables (Footscray/South Melbourne 1974–1981, born 1956) is tied to Shane Morrison by no source, and a shared name is not identity."
wikipedia-father-son-rule:1999:03,1999,national,18,18,Collingwood,Rhyce Shaw,94,players/R/Rhyce_Shaw.html,unique,"name, debut 2000 within 1999..2006, played for the club; games corroborated",Ray Shaw,146,players/R/Ray_Shaw.html,unique,"name, debut 1974 at least 15 seasons before 1999, played for the club; games corroborated"
wikipedia-father-son-rule:1999:04,1999,national,26,26,Sydney,Stephen Doyle,47,players/S/Stephen_Doyle.html,unique,"name, debut 2000 within 1999..2006, played for the club; games corroborated",Robert Doyle,77 (South Melbourne),players/R/Robert_Doyle.html,unique,"name, debut 1969 at least 15 seasons before 1999, played for the club; games corroborated"
wikipedia-father-son-rule:2000:01,2000,national,19,19,Collingwood,Jason Cloke,76,players/J/Jason_Cloke.html,unique,"name, debut 2002 within 2000..2007, played for the club; games corroborated",David Cloke,114,players/D/David_Cloke.html,unique,"name, debut 1974 at least 15 seasons before 2000, played for the club; games corroborated"
wikipedia-father-son-rule:2000:02,2000,national,28,28,Hawthorn,Steven Greene,42,players/S/Steven_Greene.html,unique,"name, debut 2001 within 2000..2007, played for the club; games corroborated",Russell Greene,184,players/R/Russell_Greene.html,unique,"name, debut 1974 at least 15 seasons before 2000, played for the club; games corroborated"
wikipedia-father-son-rule:2001:01,2001,national,40,40,Geelong,"Gary Ablett, Jr.",247,players/G/Gary_Ablett1.html,unique,"name, debut 2002 within 2001..2008, played for the club; games corroborated","Gary Ablett, Sr.",242,players/G/Gary_Ablett0.html,unique,"name, debut 1982 at least 15 seasons before 2001, played for the club; games corroborated"
wikipedia-father-son-rule:2001:02,2001,national,46,46,Carlton,Jarrad Waite,184,players/J/Jarrad_Waite.html,unique,"name, debut 2003 within 2001..2008, played for the club; games corroborated",Vin Waite,153,players/V/Vin_Waite.html,unique,"name, debut 1966 at least 15 seasons before 2001, played for the club; games corroborated"
wikipedia-father-son-rule:2002:01,2002,national,34,34,Sydney,Sean Dempster,54,players/S/Sean_Dempster.html,unique,"name, debut 2005 within 2002..2009, played for the club; games corroborated",Graham Dempster,64 (South Melbourne),players/G/Graham_Dempster.html,unique,"name, debut 1972 at least 15 seasons before 2002, played for the club; games corroborated"
wikipedia-father-son-rule:2002:02,2002,national,36,36,Geelong,Tim Callan,15,players/T/Tim_Callan.html,unique,"name, debut 2003 within 2002..2009, played for the club; games corroborated",Terry Callan,62,players/T/Terry_Callan.html,unique,"name, debut 1960 at least 15 seasons before 2002, played for the club; games corroborated"
wikipedia-father-son-rule:2002:03,2002,national,40,40,Essendon,Jobe Watson,220,players/J/Jobe_Watson.html,unique,"name, debut 2003 within 2002..2009, played for the club; games corroborated",Tim Watson,307,players/T/Tim_Watson.html,unique,"name, debut 1977 at least 15 seasons before 2002, played for the club; games corroborated"
wikipedia-father-son-rule:2002:04,2002,national,42,42,Port Adelaide,Brett Ebert,166,players/B/Brett_Ebert.html,unique,"name, debut 2004 within 2002..2009, played for the club; games corroborated",Russell Ebert,391 (Port Adelaide in SANFL),players/R/Russell_Ebert.html,resolved,"adjudicated (2026-09-05): Qualifying club is Port Adelaide (SANFL). Wikipedia 'Russell Ebert': 'his son Brett was selected under the league's Father-son rule to play for Port Adelaide' (2002) and 25 games for North Melbourne in 1979 = AFL Tables (North Melbourne 1979, 25 games)."
wikipedia-father-son-rule:2002:05,2002,national,43,43,Collingwood,Cameron Cloke,21,players/C/Cameron_Cloke.html,unique,"name, debut 2004 within 2002..2009, played for the club; games corroborated",David Cloke,114,players/D/David_Cloke.html,unique,"name, debut 1974 at least 15 seasons before 2002, played for the club; games corroborated"
wikipedia-father-son-rule:2003:01,2003,national,32,32,Collingwood,Brayden Shaw,0,,unmatched,never played a VFL/AFL match (list: 0 games),Tony Shaw,313,players/T/Tony_Shaw.html,unique,"name, debut 1978 at least 15 seasons before 2003, played for the club; games corroborated"
wikipedia-father-son-rule:2003:02,2003,national,36,36,Melbourne,Chris Johnson,31,players/C/Chris_Johnson1.html,unique,"name, debut 2005 within 2003..2010, played for the club; games corroborated",Alan Johnson,135,players/A/Alan_Johnson.html,unique,"name, debut 1982 at least 15 seasons before 2003, played for the club; games corroborated"
wikipedia-father-son-rule:2003:03,2003,national,37,37,Richmond,Tom Roach,11,players/T/Tom_Roach.html,unique,"name, debut 2004 within 2003..2010, played for the club; games corroborated",Michael Roach,200,players/M/Michael_Roach.html,unique,"name, debut 1977 at least 15 seasons before 2003, played for the club; games corroborated"
wikipedia-father-son-rule:2003:04,2003,national,38,38,Geelong,Mark Blake,99,players/M/Mark_Blake.html,unique,"name, debut 2005 within 2003..2010, played for the club; games corroborated",Rod Blake,176,players/R/Rod_Blake.html,unique,"name, debut 1971 at least 15 seasons before 2003, played for the club; games corroborated"
wikipedia-father-son-rule:2003:05,2003,national,43,43,Fremantle,Brett Peake,75,players/B/Brett_Peake.html,unique,"name, debut 2005 within 2003..2010, played for the club; games corroborated",Brian Peake,305 (East Fremantle),players/B/Brian_Peake.html,resolved,"adjudicated (2026-09-05): Qualifying club is East Fremantle (WAFL). Wikipedia 'Brett Peake': 'His father, Brian Peake, played over 400 senior games with East Fremantle, Geelong, Perth and Western Australia between 1972 and 1990'; AFL Tables Brian Peake is Geelong 1981–1984, 66 games."
wikipedia-father-son-rule:2003:06,2003,national,48,48,Collingwood,Heath Shaw,173,players/H/Heath_Shaw.html,unique,"name, debut 2005 within 2003..2010, played for the club; games corroborated",Ray Shaw,146,players/R/Ray_Shaw.html,unique,"name, debut 1974 at least 15 seasons before 2003, played for the club; games corroborated"
wikipedia-father-son-rule:2004:01,2004,national,39,39,Collingwood,Travis Cloke,246,players/T/Travis_Cloke.html,unique,"name, debut 2005 within 2004..2011, played for the club; games corroborated",David Cloke,114,players/D/David_Cloke.html,unique,"name, debut 1974 at least 15 seasons before 2004, played for the club; games corroborated"
wikipedia-father-son-rule:2004:02,2004,national,41,41,Carlton,Luke Blackwell,23,players/L/Luke_Blackwell.html,unique,"name, debut 2006 within 2004..2011, played for the club; games corroborated",Wayne Blackwell,110,players/W/Wayne_Blackwell.html,unique,"name, debut 1984 at least 15 seasons before 2004, played for the club; games corroborated"
wikipedia-father-son-rule:2004:03,2004,national,42,42,North Melbourne,Jesse W. Smith,27,players/J/Jesse_Smith0.html,unique,"name, debut 2005 within 2004..2011, played for the club; games corroborated",Ross W. Smith,224,players/R/Ross_Smith0.html,unique,"name, debut 1984 at least 15 seasons before 2004, played for the club; games corroborated"
wikipedia-father-son-rule:2004:04,2004,national,44,44,West Coast,Mitch Morton,12,players/M/Mitch_Morton.html,unique,"name, debut 2005 within 2004..2011, played for the club; games corroborated",Noel Morton,171 (Claremont),,unmatched,no VFL/AFL career (list: 171 (Claremont))
wikipedia-father-son-rule:2004:05,2004,national,48,48,Geelong,Nathan Ablett,32,players/N/Nathan_Ablett.html,unique,"name, debut 2005 within 2004..2011, played for the club; games corroborated","Gary Ablett, Sr.",242,players/G/Gary_Ablett0.html,unique,"name, debut 1982 at least 15 seasons before 2004, played for the club; games corroborated"
wikipedia-father-son-rule:2005:01,2005,national,38,38,Hawthorn,Travis Tuck,20,players/T/Travis_Tuck.html,unique,"name, debut 2007 within 2005..2012, played for the club; games corroborated",Michael Tuck,426,players/M/Michael_Tuck.html,unique,"name, debut 1972 at least 15 seasons before 2005, played for the club; games corroborated"
wikipedia-father-son-rule:2005:02,2005,national,39,39,Essendon,Jay Neagle,28,players/J/Jay_Neagle.html,unique,"name, debut 2007 within 2005..2012, played for the club; games corroborated",Merv Neagle,147,players/M/Merv_Neagle.html,unique,"name, debut 1977 at least 15 seasons before 2005, played for the club; games corroborated"
wikipedia-father-son-rule:2006:01,2006,national,40,40,Hawthorn,Josh Kennedy,13,players/J/Josh_Kennedy1.html,unique,"name, debut 2008 within 2006..2013, played for the club; games corroborated",John Kennedy Jr.,241,players/J/John_Kennedy1.html,unique,"name, debut 1979 at least 15 seasons before 2006, played for the club; games corroborated"
wikipedia-father-son-rule:2006:02,2006,national,41,41,Geelong,Tom Hawkins,359,players/T/Tom_Hawkins.html,unique,"name, debut 2007 within 2006..2013, played for the club; games corroborated",Jack Hawkins,182,players/J/Jack_Hawkins.html,unique,"name, debut 1973 at least 15 seasons before 2006, played for the club; games corroborated"
wikipedia-father-son-rule:2007:01,2007,national,39,39,Essendon,Darcy Daniher,6,players/D/Darcy_Daniher.html,unique,"name, debut 2008 within 2007..2014, played for the club; games corroborated",Anthony Daniher,118,players/A/Anthony_Daniher.html,unique,"name, debut 1981 at least 15 seasons before 2007, played for the club; games corroborated"
wikipedia-father-son-rule:2007:02,2007,national,60,60,Geelong,Adam Donohue,0,,unmatched,never played a VFL/AFL match (list: 0 games),Larry Donohue,105,players/L/Larry_Donohue.html,unique,"name, debut 1973 at least 15 seasons before 2007, played for the club; games corroborated"
wikipedia-father-son-rule:2007:03,2007,national,61,61,Collingwood,Jaxson Barham,7,players/J/Jaxson_Barham.html,unique,"name, debut 2009 within 2007..2014, played for the club; games corroborated",Ricky Barham,151,players/R/Ricky_Barham.html,unique,"name, debut 1977 at least 15 seasons before 2007, played for the club; games corroborated"
wikipedia-father-son-rule:2008:01,2008,national,14,14,Western Bulldogs,Ayce Cordy,27,players/A/Ayce_Cordy.html,unique,"name, debut 2011 within 2008..2015, played for the club; games corroborated",Brian Cordy,124,players/B/Brian_Cordy.html,unique,"name, debut 1981 at least 15 seasons before 2008, played for the club; games corroborated"
wikipedia-father-son-rule:2010:01,2010,national,22,22,Western Bulldogs,Mitch Wallis,162,players/M/Mitch_Wallis.html,unique,"name, debut 2011 within 2010..2017, played for the club; games corroborated",Stephen Wallis,261,players/S/Stephen_Wallis.html,unique,"name, debut 1983 at least 15 seasons before 2010, played for the club; games corroborated"
wikipedia-father-son-rule:2010:02,2010,national,41,41,Western Bulldogs,Tom Liberatore^,257,players/T/Tom_Liberatore.html,unique,"name, debut 2011 within 2010..2017, played for the club; games corroborated",Tony Liberatore,283,players/T/Tony_Liberatore.html,unique,"name, debut 1986 at least 15 seasons before 2010, played for the club; games corroborated"
wikipedia-father-son-rule:2010:03,2010,national,62,62,West Coast,Jacob Brennan,28,players/J/Jacob_Brennan.html,unique,"name, debut 2012 within 2010..2017, played for the club; games corroborated",Michael Brennan,179,players/M/Michael_Brennan.html,unique,"name, debut 1987 at least 15 seasons before 2010, played for the club; games corroborated"
wikipedia-father-son-rule:2011:01,2011,national,21,21,Sydney,Tom Mitchell,65,players/T/Tom_Mitchell.html,unique,"name, debut 2013 within 2011..2018, played for the club; games corroborated",Barry Mitchell,170,players/B/Barry_Mitchell.html,unique,"name, debut 1984 at least 15 seasons before 2011, played for the club; games corroborated"
wikipedia-father-son-rule:2011:02,2011,national,62,62,Carlton,Dylan Buckley,39,players/D/Dylan_Buckley.html,unique,"name, debut 2013 within 2011..2018, played for the club; games corroborated",Jim Buckley,164,players/J/Jim_Buckley.html,unique,"name, debut 1976 at least 15 seasons before 2011, played for the club; games corroborated"
wikipedia-father-son-rule:2011:03,2011,national,86,86,Geelong,Jed Bews^,175,players/J/Jed_Bews.html,unique,"name, debut 2014 within 2011..2018, played for the club; games corroborated",Andrew Bews,164,players/A/Andrew_Bews.html,unique,"name, debut 1982 at least 15 seasons before 2011, played for the club; list games differ from AFLDB (club-grain figure)"
wikipedia-father-son-rule:2012:01,2012,national,10,10,Essendon,Joe Daniher,108,players/J/Joe_Daniher.html,unique,"name, debut 2013 within 2012..2019, played for the club; games corroborated",Anthony Daniher,118,players/A/Anthony_Daniher.html,unique,"name, debut 1981 at least 15 seasons before 2012, played for the club; games corroborated"
wikipedia-father-son-rule:2012:02,2012,national,26,26,Melbourne,Jack Viney^,237,players/J/Jack_Viney.html,unique,"name, debut 2013 within 2012..2019, played for the club; games corroborated",Todd Viney,233,players/T/Todd_Viney.html,unique,"name, debut 1987 at least 15 seasons before 2012, played for the club; games corroborated"
wikipedia-father-son-rule:2012:03,2012,national,49,49,Western Bulldogs,Lachie Hunter,173,players/L/Lachie_Hunter.html,unique,"name, debut 2013 within 2012..2019, played for the club; games corroborated",Mark Hunter,130,players/M/Mark_Hunter.html,unique,"name, debut 1988 at least 15 seasons before 2012, played for the club; games corroborated"
wikipedia-father-son-rule:2013:01,2013,national,8,8,North Melbourne,Luke McDonald^,218,players/L/Luke_McDonald.html,unique,"name, debut 2014 within 2013..2020, played for the club; games corroborated",Donald McDonald,155,players/D/Donald_McDonald.html,unique,"name, debut 1982 at least 15 seasons before 2013, played for the club; games corroborated"
wikipedia-father-son-rule:2014:01,2014,national,9,9,Collingwood,Darcy Moore^,195,players/D/Darcy_Moore.html,unique,"name, debut 2015 within 2014..2021, played for the club; games corroborated",Peter Moore,172,players/P/Peter_Moore.html,unique,"name, debut 1974 at least 15 seasons before 2014, played for the club; games corroborated"
wikipedia-father-son-rule:2014:02,2014,national,42,42,Melbourne,Billy Stretch,47,players/B/Billy_Stretch.html,unique,"name, debut 2015 within 2014..2021, played for the club; games corroborated",Steven Stretch,164,players/S/Steven_Stretch.html,unique,"name, debut 1986 at least 15 seasons before 2014, played for the club; games corroborated"
wikipedia-father-son-rule:2014:03,2014,national,62,62,Western Bulldogs,Zaine Cordy,118,players/Z/Zaine_Cordy.html,unique,"name, debut 2015 within 2014..2021, played for the club; games corroborated",Brian Cordy,124,players/B/Brian_Cordy.html,unique,"name, debut 1981 at least 15 seasons before 2014, played for the club; games corroborated"
wikipedia-father-son-rule:2014:04,2014,national,76,76,West Coast,Alec Waterman,0,,unmatched,never played a VFL/AFL match (list: 0 games),Chris Waterman,177,players/C/Chris_Waterman.html,unique,"name, debut 1988 at least 15 seasons before 2014, played for the club; games corroborated"
wikipedia-father-son-rule:2014:05,2014,national,86,86,Brisbane Lions,Josh Clayton,2,players/J/Josh_Clayton.html,unique,"name, debut 2016 within 2014..2021, played for the club; games corroborated",Scott Clayton,160 (Fitzroy),players/S/Scott_Clayton.html,unique,"name, debut 1981 at least 15 seasons before 2014, played for the club; games corroborated"
wikipedia-father-son-rule:2014:06,2014,rookie,47,47 (rookie),Essendon,Jake Long,5,players/J/Jake_Long.html,unique,"name, debut 2016 within 2014..2021, played for the club; games corroborated",Michael Long,190,players/M/Michael_Long.html,unique,"name, debut 1989 at least 15 seasons before 2014, played for the club; games corroborated"
wikipedia-father-son-rule:2015:01,2015,national,49,49,St Kilda,Bailey Rice,11,players/B/Bailey_Rice.html,unique,"name, debut 2018 within 2015..2022, played for the club; games corroborated",Dean Rice,116,players/D/Dean_Rice.html,unique,"name, debut 1987 at least 15 seasons before 2015, played for the club; games corroborated"
wikipedia-father-son-rule:2015:02,2015,national,53,53,Carlton,Jack Silvagni^,128,players/J/Jack_Silvagni.html,unique,"name, debut 2016 within 2015..2022, played for the club; games corroborated",Stephen Silvagni,312,players/S/Stephen_Silvagni.html,unique,"name, debut 1985 at least 15 seasons before 2015, played for the club; games corroborated"
wikipedia-father-son-rule:2015:03,2015,rookie,54,54 (rookie),Essendon,Tom Wallis,0,,unmatched,never played a VFL/AFL match (list: 0 games),Dean Wallis,127,players/D/Dean_Wallis.html,unique,"name, debut 1987 at least 15 seasons before 2015, played for the club; games corroborated"
wikipedia-father-son-rule:2016:01,2016,national,35,35,Collingwood,Callum Brown,70,players/C/Callum_Brown0.html,unique,"name, debut 2017 within 2016..2023, played for the club; games corroborated",Gavin Brown,254,players/G/Gavin_Brown.html,unique,"name, debut 1987 at least 15 seasons before 2016, played for the club; games corroborated"
wikipedia-father-son-rule:2016:02,2016,national,57,57,Collingwood,Josh Daicos^,151,players/J/Josh_Daicos.html,unique,"name, debut 2017 within 2016..2023, played for the club; games corroborated",Peter Daicos,250,players/P/Peter_Daicos.html,unique,"name, debut 1979 at least 15 seasons before 2016, played for the club; games corroborated"
wikipedia-father-son-rule:2016:03,2016,national,77,77,West Coast,Jake Waterman^,112,players/J/Jake_Waterman.html,unique,"name, debut 2018 within 2016..2023, played for the club; games corroborated",Chris Waterman,177,players/C/Chris_Waterman.html,unique,"name, debut 1988 at least 15 seasons before 2016, played for the club; games corroborated"
wikipedia-father-son-rule:2016:04,2016,rookie,45,45 (rookie),Adelaide,Ben Jarman,0,,unmatched,never played a VFL/AFL match (list: 0 games),Darren Jarman,121,players/D/Darren_Jarman.html,unique,"name, debut 1991 at least 15 seasons before 2016, played for the club; games corroborated"
wikipedia-father-son-rule:2016:05,2016,rookie,53,53 (rookie),Geelong,Sam Simpson,25,players/S/Sam_Simpson.html,unique,"name, debut 2017 within 2016..2023, played for the club; games corroborated",Sean Simpson,114,players/S/Sean_Simpson.html,unique,"name, debut 1988 at least 15 seasons before 2016, played for the club; games corroborated"
wikipedia-father-son-rule:2017:01,2017,national,34,34,Richmond,Patrick Naish,9,players/P/Patrick_Naish.html,unique,"name, debut 2019 within 2017..2024, played for the club; games corroborated",Chris Naish,143,players/C/Chris_Naish.html,unique,"name, debut 1990 at least 15 seasons before 2017, played for the club; games corroborated"
