source_key,family_key,family_name,person_a_name,person_a_role,person_a_wikipedia,person_a_clubs,person_a_legacy,person_a_profile,person_a_link,person_a_note,person_b_name,person_b_role,person_b_wikipedia,person_b_clubs,person_b_legacy,person_b_profile,person_b_link,person_b_note,relationship_label,source_label,evidence,extraction_method,source_revision_id,also_source_keys
5af2193322b38dbc9d18f05e,albiston-0012,Albiston,Alec Albiston,sibling,https://en.wikipedia.org/wiki/Alec_Albiston,"Hawthorn , North Melbourne",unique:2485,players/A/Alec_Albiston.html,unique,"name, played for a listed club (hawthorn, north-melbourne)",Harold Albiston,sibling,https://en.wikipedia.org/wiki/Harold_Albiston,"Collingwood , Hawthorn",unique:2484,players/H/Harold_Albiston.html,unique,"name, played for a listed club (collingwood, hawthorn)",brothers,siblings/brothers,"Alec, Harold and Ken were brothers.",prose_rule,1365040810,
545b360a592b065029ad77b4,albiston-0012,Albiston,Alec Albiston,sibling,https://en.wikipedia.org/wiki/Alec_Albiston,"Hawthorn , North Melbourne",unique:2485,players/A/Alec_Albiston.html,unique,"name, played for a listed club (hawthorn, north-melbourne)",Ken Albiston,sibling,https://en.wikipedia.org/wiki/Ken_Albiston,"Richmond , Melbourne",unique:2486,players/K/Ken_Albiston.html,unique,"name, played for a listed club (richmond, melbourne)",brothers,siblings/brothers,"Alec, Harold and Ken were brothers.",prose_rule,1365040810,
37ceab1d4b4944f17af06e51,albiston-0012,Albiston,Harold Albiston,sibling,https://en.wikipedia.org/wiki/Harold_Albiston,"Collingwood , Hawthorn",unique:2484,players/H/Harold_Albiston.html,unique,"name, played for a listed club (collingwood, hawthorn)",Ken Albiston,sibling,https://en.wikipedia.org/wiki/Ken_Albiston,"Richmond , Melbourne",unique:2486,players/K/Ken_Albiston.html,unique,"name, played for a listed club (richmond, melbourne)",brothers,siblings/brothers,"Alec, Harold and Ken were brothers.",prose_rule,1365040810,
4c8ee1d97e5441bdd134a0a8,allen-0017,Allen,George Allen,sibling,"https://en.wikipedia.org/wiki/George_Allen_(footballer,_born_1928)",South Melbourne,unique:8925,players/G/George_Allen.html,unique,"name, played for a listed club (sydney)",Tommy Allen,sibling,https://en.wikipedia.org/wiki/Tommy_Allen_(Australian_footballer),South Melbourne,unique:8034,players/T/Tommy_Allen.html,unique,"name, played for a listed club (sydney)",brothers,siblings/brothers,George and Tommy were brothers.,prose_rule,1365040810,
87bcd9aba56d95c682d8674a,alves-0019,Alves,Mark Alves,sibling,https://en.wikipedia.org/wiki/Mark_Alves,Melbourne,unique:10899,players/M/Mark_Alves.html,unique,"name, played for a listed club (melbourne)",Stan Alves,sibling,https://en.wikipedia.org/wiki/Stan_Alves,"Melbourne , North Melbourne",unique:1485,players/S/Stan_Alves.html,unique,"name, played for a listed club (melbourne, north-melbourne)",brothers,siblings/brothers,Mark and Stan are brothers.,prose_rule,1365040810,
fab9131aa36adf55ae68019e,anderson-3-0022,Anderson (3),Jed Anderson,sibling,https://en.wikipedia.org/wiki/Jed_Anderson,"Hawthorn , North Melbourne",unique:12154,players/J/Jed_Anderson.html,unique,"name, played for a listed club (hawthorn, north-melbourne)",Joe Anderson,sibling,https://en.wikipedia.org/wiki/Joe_Anderson_(Australian_footballer),Carlton,unique:11559,players/J/Joe_Anderson.html,unique,"name, played for a listed club (carlton)",brothers,siblings/brothers,Jed and Joe are brothers,prose_rule,1365040810,
4626f51c909cf50c1e9a3f15,anderson-4-0023,Anderson (4),Bernie Anderson,sibling,https://en.wikipedia.org/wiki/Bernie_Anderson_(footballer),Richmond,unique:9834,players/B/Bernie_Anderson.html,unique,"name, played for a listed club (richmond)",Noel Anderson,sibling,https://en.wikipedia.org/wiki/Noel_Anderson_(footballer),"North Melbourne , Richmond",unique:9815,players/N/Noel_Anderson.html,unique,"name, played for a listed club (north-melbourne, richmond)",brothers,siblings/brothers,Bernie and Noel were brothers.,prose_rule,1365040810,
c5a324048a42b4d482a67fb4,armstrong-0030,Armstrong,Bert Armstrong,sibling,https://en.wikipedia.org/wiki/Bert_Armstrong,Essendon,unique:5840,players/B/Bert_Armstrong.html,unique,"name, played for a listed club (essendon)",Lou Armstrong,brother,https://en.wikipedia.org/wiki/Lou_Armstrong,Essendon,unique:5565,players/L/Lou_Armstrong.html,unique,"name, played for a listed club (essendon)",brothers,siblings/brothers,Lou was the elder brother of Bert.,prose_rule,1365040810,
2e9bec5914a2e890fbd6a7fa,atkins-2-0034,Atkins (2),Paul Atkins,twin,https://en.wikipedia.org/wiki/Paul_Atkins_(Australian_footballer),Sydney,unique:11527,players/P/Paul_Atkins.html,unique,"name, played for a listed club (sydney)",Simon Atkins,twin,https://en.wikipedia.org/wiki/Simon_Atkins_(footballer),"Footscray , Fitzroy",unique:376,players/S/Simon_Atkins.html,unique,"name, played for a listed club (western-bulldogs, fitzroy)",twin brothers,twins,Paul and Simon are twins.,prose_rule,1365040810,
df36844aa85f9869eb14c4be,atkinson-1-0035,Atkinson (1),Art Atkinson,sibling,https://en.wikipedia.org/wiki/Art_Atkinson,Melbourne,unique:4485,players/A/Art_Atkinson.html,unique,"name, played for a listed club (melbourne)",Bill Atkinson,sibling,https://en.wikipedia.org/wiki/Bill_Atkinson_(Australian_footballer),Melbourne,unique:4486,players/B/Bill_Atkinson.html,unique,"name, played for a listed club (melbourne)",brothers,siblings/brothers,Art and Bill were brothers.,prose_rule,1365040810,
f67ff328af61a2290e7c8bd5,atkinson-2-0036,Atkinson (2),Bob Atkinson,sibling,"https://en.wikipedia.org/wiki/Bob_Atkinson_(footballer,_born_1913)",Carlton,resolved:8563,players/B/Bob_Atkinson0.html,unique,"name, played for a listed club (carlton)",Ted Atkinson,sibling,https://en.wikipedia.org/wiki/Ted_Atkinson_(footballer),North Melbourne,unique:8899,players/T/Ted_Atkinson.html,unique,"name, played for a listed club (north-melbourne)",brothers,siblings/brothers,Bob and Ted were brothers.,prose_rule,1365040810,
582c42829e61b7a06bac4808,atley-0037,Atley,Joe Atley,sibling,https://en.wikipedia.org/wiki/Joe_Atley,Port Adelaide,unique:12556,players/J/Joe_Atley.html,unique,"name, played for a listed club (port-adelaide)",Shaun Atley,brother,https://en.wikipedia.org/wiki/Shaun_Atley,North Melbourne,unique:11902,players/S/Shaun_Atley.html,unique,"name, played for a listed club (north-melbourne)",brothers,siblings/brothers,Shaun is the elder brother of Joe.,prose_rule,1365040810,
e20c33d34a3aada185931e98,austen-0039,Austen,Cecil Austen,brother,https://en.wikipedia.org/wiki/Cecil_Austen,Hawthorn,unmatched,,unmatched,no VFL/AFL player of that name played for a listed club,Bob Austen,sibling,https://en.wikipedia.org/wiki/Bob_Austen,Hawthorn,unique:8547,players/B/Bob_Austen.html,unique,"name, played for a listed club (hawthorn)",brothers,siblings/brothers,"Cecil is the brother of Bob and Col, and the father of Geoff.",prose_rule,1365040810,
2b6c422cea471d182b53e9c1,austen-0039,Austen,Cecil Austen,brother,https://en.wikipedia.org/wiki/Cecil_Austen,Hawthorn,unmatched,,unmatched,no VFL/AFL player of that name played for a listed club,Col Austen,sibling,https://en.wikipedia.org/wiki/Col_Austen,"Hawthorn , Richmond",unmatched,,unmatched,no VFL/AFL player of that name played for a listed club,brothers,siblings/brothers,"Cecil is the brother of Bob and Col, and the father of Geoff.",prose_rule,1365040810,
ee85cff76e1fb7eae90d6101,baggott-0040,Baggott,Jack Baggott,sibling,https://en.wikipedia.org/wiki/Jack_Baggott,"Richmond , Essendon",unique:2505,players/J/Jack_Baggott.html,unique,"name, played for a listed club (richmond, essendon)",Ron Baggott,sibling,https://en.wikipedia.org/wiki/Ron_Baggott,Melbourne,unique:2506,players/R/Ron_Baggott.html,unique,"name, played for a listed club (melbourne)",brothers,siblings/brothers,Jack and Ron were brothers.,prose_rule,1365040810,
793eadb3d67f73c5c5268cfe,bailes-0042,Bailes,Barclay Bailes,sibling,https://en.wikipedia.org/wiki/Barclay_Bailes,"Perth , Fitzroy",unique:5263,players/B/Barclay_Bailes.html,unique,"name, played for a listed club (fitzroy)",Ernie Bailes,sibling,https://en.wikipedia.org/wiki/Ernie_Bailes,Collingwood,unique:5765,players/E/Ernie_Bailes.html,unique,"name, played for a listed club (collingwood)",brothers,siblings/brothers,Barclay and Ernie were brothers.,prose_rule,1365040810,
e7f0f874785b3c520bf160b7,baker-0044,Baker,Reg Baker,sibling,https://en.wikipedia.org/wiki/Reg_Baker,"Collingwood , Richmond",unique:2509,players/R/Reg_Baker.html,unique,"name, played for a listed club (collingwood, richmond)",Selwyn Baker,sibling,https://en.wikipedia.org/wiki/Selwyn_Baker,"Collingwood , North Melbourne",unique:2511,players/S/Selwyn_Baker.html,unique,"name, played for a listed club (collingwood, north-melbourne)",brothers,siblings/brothers,"Reg, Selwyn and Ted were brothers",prose_rule,1365040810,
2d5f04fbe547f72ee426bc31,baker-0044,Baker,Ted Baker,sibling,https://en.wikipedia.org/wiki/Ted_Baker_(footballer),"Carlton , Collingwood , Footscray , Geelong",unmatched,,unmatched,no VFL/AFL player of that name played for a listed club,Reg Baker,sibling,https://en.wikipedia.org/wiki/Reg_Baker,"Collingwood , Richmond",unique:2509,players/R/Reg_Baker.html,unique,"name, played for a listed club (collingwood, richmond)",brothers,siblings/brothers,"Reg, Selwyn and Ted were brothers",prose_rule,1365040810,
2de5b24cc912d4f9862e4a38,baker-0044,Baker,Ted Baker,sibling,https://en.wikipedia.org/wiki/Ted_Baker_(footballer),"Carlton , Collingwood , Footscray , Geelong",unmatched,,unmatched,no VFL/AFL player of that name played for a listed club,Selwyn Baker,sibling,https://en.wikipedia.org/wiki/Selwyn_Baker,"Collingwood , North Melbourne",unique:2511,players/S/Selwyn_Baker.html,unique,"name, played for a listed club (collingwood, north-melbourne)",brothers,siblings/brothers,"Reg, Selwyn and Ted were brothers",prose_rule,1365040810,
afldb-sibling-supplement:009,ball-0045,Ball,Luke Ball,brother,,,,players/L/Luke_Ball.html,resolved,"supplement (2026-09-05): Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ball'): 'Luke and Matthew are the sons of Ray' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Luke Ball' (born 25 May 1984, St Kilda/Collingwood 2003-2014): 'Ball is the younger brother of Hawthorn player Matthew Ball'. AFL Tables Matthew_Ball: born 1982, Hawthorn 2004-2006, 17 games",Matthew Ball,brother,,,,players/M/Matthew_Ball.html,resolved,"supplement (2026-09-05): Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ball'): 'Luke and Matthew are the sons of Ray' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Luke Ball' (born 25 May 1984, St Kilda/Collingwood 2003-2014): 'Ball is the younger brother of Hawthorn player Matthew Ball'. AFL Tables Matthew_Ball: born 1982, Hawthorn 2004-2006, 17 games",brothers,supplement,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ball'): 'Luke and Matthew are the sons of Ray' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Luke Ball' (born 25 May 1984, St Kilda/Collingwood 2003-2014): 'Ball is the younger brother of Hawthorn player Matthew Ball'. AFL Tables Matthew_Ball: born 1982, Hawthorn 2004-2006, 17 games",adjudication,,
93693f4a2abc7bd1a783d227,balme-0047,Balme,Craig Balme,sibling,https://en.wikipedia.org/wiki/Craig_Balme,"Richmond , Norwood",unique:11183,players/C/Craig_Balme.html,unique,"name, played for a listed club (richmond)",Neil Balme,sibling,https://en.wikipedia.org/wiki/Neil_Balme,"Subiaco , Richmond , Norwood",unique:1505,players/N/Neil_Balme.html,unique,"name, played for a listed club (richmond)",brothers,siblings/brothers,Craig and Neil are brothers.,prose_rule,1365040810,
396d044340661d0d00b66e92,banks-0048,Banks,Albert Banks,sibling,https://en.wikipedia.org/wiki/Albert_Banks,"South Fremantle , Perth",out_of_scope,,unmatched,"listed clubs are not VFL/AFL clubs (South Fremantle , Perth)",Tom Banks,sibling,https://en.wikipedia.org/wiki/Tom_Banks_(Australian_rules_footballer),Fitzroy,unique:4345,players/T/Tom_Banks.html,unique,"name, played for a listed club (fitzroy)",brothers,siblings/brothers,Albert and Tom were brothers,prose_rule,1365040810,
540445b8d2fdbea3d614ac28,bant-0049,Bant,Chris Bant,sibling,https://en.wikipedia.org/wiki/Chris_Bant,"St Kilda , Geelong",unique:5425,players/C/Chris_Bant.html,unique,"name, played for a listed club (st-kilda, geelong)",Horrie Bant,sibling,https://en.wikipedia.org/wiki/Horrie_Bant,"West Perth , St Kilda , Essendon , Subiaco",unique:5314,players/H/Horrie_Bant.html,unique,"name, played for a listed club (st-kilda, essendon)",brothers,siblings/brothers,Chris and Horrie were brothers.,prose_rule,1365040810,
95f864981438619ada3d0d3d,barham-0051,Barham,Billy Barham,sibling,https://en.wikipedia.org/wiki/Billy_Barham,Melbourne,unique:10773,players/B/Billy_Barham.html,unique,"name, played for a listed club (melbourne)",Jamie Barham,sibling,https://en.wikipedia.org/wiki/Jamie_Barham,"Melbourne , Footscray",unique:11084,players/J/Jamie_Barham.html,unique,"name, played for a listed club (melbourne, western-bulldogs)",brothers,siblings/brothers,"Billy, Jamie and Ricky are brothers.",prose_rule,1365040810,
e16135ea52e19a8f503190c0,barham-0051,Barham,Billy Barham,sibling,https://en.wikipedia.org/wiki/Billy_Barham,Melbourne,unique:10773,players/B/Billy_Barham.html,unique,"name, played for a listed club (melbourne)",Ricky Barham,sibling,https://en.wikipedia.org/wiki/Ricky_Barham,Collingwood,unique:1510,players/R/Ricky_Barham.html,unique,"name, played for a listed club (collingwood)",brothers,siblings/brothers,"Billy, Jamie and Ricky are brothers.",prose_rule,1365040810,
655ce88f907ebaaaa458147a,barham-0051,Barham,Jamie Barham,sibling,https://en.wikipedia.org/wiki/Jamie_Barham,"Melbourne , Footscray",unique:11084,players/J/Jamie_Barham.html,unique,"name, played for a listed club (melbourne, western-bulldogs)",Ricky Barham,sibling,https://en.wikipedia.org/wiki/Ricky_Barham,Collingwood,unique:1510,players/R/Ricky_Barham.html,unique,"name, played for a listed club (collingwood)",brothers,siblings/brothers,"Billy, Jamie and Ricky are brothers.",prose_rule,1365040810,
8159673c25833c6d3e235a87,barker-1-0052,Barker (1),George Barker,sibling,"https://en.wikipedia.org/wiki/George_Barker_(footballer,_born_1885)",Essendon,resolved:5053,players/G/George_Barker1.html,unique,"name, played for a listed club (essendon)",Syd Barker Sr,brother,https://en.wikipedia.org/wiki/Syd_Barker_Sr.,"Richmond , Essendon , North Melbourne",resolved:5531,players/S/Syd_Barker0.html,unique,"name, sr. suffix, played for a listed club (richmond, essendon, north-melbourne)",brothers,siblings/brothers,Syd Senior was the brother of George and the father of Syd Junior.,prose_rule,1365040810,
3451ac1d3cb9b43984ad0abb,barker-2-0053,Barker (2),George Barker,sibling,"https://en.wikipedia.org/wiki/George_Barker_(footballer,_born_1916)",Hawthorn,resolved:8279,players/G/George_Barker0.html,unique,"name, played for a listed club (hawthorn)",Jack Barker,sibling,https://en.wikipedia.org/wiki/Jack_Barker_(Australian_rules_footballer),Hawthorn,unique:2519,players/J/Jack_Barker.html,unique,"name, played for a listed club (hawthorn)",brothers,siblings/brothers,George and Jack were brothers.,prose_rule,1365040810,
01be38fe4e778e9bc5dcf602,barlow-0054,Barlow,Kris Barlow,sibling,https://en.wikipedia.org/wiki/Kris_Barlow,Hawthorn,unique:668,players/K/Kris_Barlow.html,unique,"name, played for a listed club (hawthorn)",Paul Barlow,sibling,https://en.wikipedia.org/wiki/Paul_Barlow,"Richmond , West Adelaide",unique:11399,players/P/Paul_Barlow.html,unique,"name, played for a listed club (richmond)",brothers,siblings/brothers,Kris and Paul are brothers.,prose_rule,1365040810,
4e26430602a566e7a615de26,barrot-0057,Barrot,Bill Barrot,sibling,https://en.wikipedia.org/wiki/Bill_Barrot,"Richmond , St Kilda , Carlton , West Torrens",unique:2524,players/B/Bill_Barrot.html,unique,"name, played for a listed club (richmond, st-kilda, carlton)",Wes Barrot,sibling,https://en.wikipedia.org/wiki/Wes_Barrot,"Richmond , Collingwood",unique:10740,players/W/Wes_Barrot.html,unique,"name, played for a listed club (richmond, collingwood)",brothers,siblings/brothers,Bill and Wes were brothers.,prose_rule,1365040810,
4655d0bd0b6a28f5afb2b989,barton-0058,Barton,Bill Barton,sibling,https://en.wikipedia.org/wiki/Bill_Barton_(footballer),North Melbourne,unique:9504,players/B/Bill_Barton.html,unique,"name, played for a listed club (north-melbourne)",Colin Barton,sibling,https://en.wikipedia.org/wiki/Colin_Barton,Geelong,unique:9569,players/C/Colin_Barton.html,unique,"name, played for a listed club (geelong)",brothers,siblings/brothers,"Bill, Colin and George were brothers.",prose_rule,1365040810,
baa95158a7644f8c5ead6fc6,barton-0058,Barton,Bill Barton,sibling,https://en.wikipedia.org/wiki/Bill_Barton_(footballer),North Melbourne,unique:9504,players/B/Bill_Barton.html,unique,"name, played for a listed club (north-melbourne)",George Barton,sibling,https://en.wikipedia.org/wiki/George_Barton_(footballer),Hawthorn,unique:9651,players/G/George_Barton.html,unique,"name, played for a listed club (hawthorn)",brothers,siblings/brothers,"Bill, Colin and George were brothers.",prose_rule,1365040810,
0268cca4c61bc04fb2648aba,barton-0058,Barton,Colin Barton,sibling,https://en.wikipedia.org/wiki/Colin_Barton,Geelong,unique:9569,players/C/Colin_Barton.html,unique,"name, played for a listed club (geelong)",George Barton,sibling,https://en.wikipedia.org/wiki/George_Barton_(footballer),Hawthorn,unique:9651,players/G/George_Barton.html,unique,"name, played for a listed club (hawthorn)",brothers,siblings/brothers,"Bill, Colin and George were brothers.",prose_rule,1365040810,
41ee1ad73d498a23b9afd1a9,bassett-0059,Bassett,Nathan Bassett,brother,https://en.wikipedia.org/wiki/Nathan_Bassett,Adelaide,unique:56,players/N/Nathan_Bassett.html,unique,"name, played for a listed club (adelaide)",Scott Bassett,sibling,https://en.wikipedia.org/wiki/Scott_Bassett,"Norwood , Port Adelaide , Western Bulldogs",unique:849,players/S/Scott_Bassett.html,unique,"name, played for a listed club (port-adelaide, western-bulldogs)",brothers,siblings/brothers,Nathan is the elder brother of Scott.,prose_rule,1365040810,
b8b054d812ed479d9e3284df,batty-0061,Batty,Ern Batty,sibling,https://en.wikipedia.org/wiki/Ern_Batty,Geelong,unique:4969,players/E/Ern_Batty.html,unique,"name, played for a listed club (geelong)",Les Batty,sibling,https://en.wikipedia.org/wiki/Les_Batty,"Geelong , Carlton",unique:5751,players/L/Les_Batty.html,unique,"name, played for a listed club (geelong, carlton)",brothers,siblings/brothers,Ern and Les were brothers.,prose_rule,1365040810,
439b6f4f4719ee92fe5d70d4,baxter-3-0064,Baxter (3),Bernie Baxter,sibling,https://en.wikipedia.org/wiki/Bernie_Baxter,Carlton,unique:9155,players/B/Bernie_Baxter.html,unique,"name, played for a listed club (carlton)",Bill Baxter,sibling,https://en.wikipedia.org/wiki/Bill_Baxter_(Australian_footballer),Melbourne,unique:8224,players/B/Bill_Baxter.html,unique,"name, played for a listed club (melbourne)",brothers,siblings/brothers,"Bernie, Bill and Ken were brothers.",prose_rule,1365040810,
74ab57acd6c8d1954e3abd71,baxter-3-0064,Baxter (3),Bernie Baxter,sibling,https://en.wikipedia.org/wiki/Bernie_Baxter,Carlton,unique:9155,players/B/Bernie_Baxter.html,unique,"name, played for a listed club (carlton)",Ken Baxter,sibling,https://en.wikipedia.org/wiki/Ken_Baxter_(footballer),Carlton,unique:2530,players/K/Ken_Baxter.html,unique,"name, played for a listed club (carlton)",brothers,siblings/brothers,"Bernie, Bill and Ken were brothers.",prose_rule,1365040810,
449a85d9bfe65f4e73bc4a7e,baxter-3-0064,Baxter (3),Bill Baxter,sibling,https://en.wikipedia.org/wiki/Bill_Baxter_(Australian_footballer),Melbourne,unique:8224,players/B/Bill_Baxter.html,unique,"name, played for a listed club (melbourne)",Ken Baxter,sibling,https://en.wikipedia.org/wiki/Ken_Baxter_(footballer),Carlton,unique:2530,players/K/Ken_Baxter.html,unique,"name, played for a listed club (carlton)",brothers,siblings/brothers,"Bernie, Bill and Ken were brothers.",prose_rule,1365040810,
