id,at,question,outcome,failureReason,topic,grain,metric,confidence,tokenRatio,playerCertainty,structuralPenalty,unresolvedPenalty,unsupportedTerms,resultCount,durationMs,reviewStatus,reviewCategory,reviewNotes
4539,2026-08-29T13:49:51.913Z,teams with at most 2 wins against Richmond,no_results,empty_result,,team_match,,1,1,1,1,0,,0,146,,,
4329,2026-08-29T13:49:24.944Z,players with more than 1000 career games,no_results,empty_result,,player_career,,1,1,1,1,0,,0,165,,,
4325,2026-08-29T13:49:24.491Z,players with at least 1000 career games,no_results,empty_result,,player_career,,1,1,1,1,0,,0,157,,,
4321,2026-08-29T13:49:24.040Z,players with more than 500 career games,no_results,empty_result,,player_career,,1,1,1,1,0,,0,116,,,
4317,2026-08-29T13:49:23.556Z,players with at least 500 career games,no_results,empty_result,,player_career,,1,1,1,1,0,,0,104,,,
3829,2026-08-27T05:34:08.985Z,who had the most inside 50s in 1900,unanswerable,coverage_unavailable,,player_season,inside_50s,1,1,1,1,0,,,38,,,
3828,2026-08-27T05:34:08.039Z,most inside 50s in 1900,unanswerable,coverage_unavailable,,player_season,inside_50s,1,1,1,1,0,,,39,,,
3825,2026-08-24T14:51:08.702Z,First game grand final,declined_low_confidence,unsupported_term,,,,0.15,0.5,1,1,0.35,first game grand,,25,,,
3824,2026-08-24T14:50:55.733Z,First in a game grand final,declined_low_confidence,unsupported_term,,,,0.4,0.75,1,1,0.35,first grand,,45,,,
3823,2026-08-24T14:50:46.541Z,First in game grand final,declined_low_confidence,unsupported_term,,,,0.15,0.5,1,1,0.35,first game grand,,23,,,
3822,2026-08-24T14:50:40.555Z,First game grand final,declined_low_confidence,unsupported_term,,,,0.15,0.5,1,1,0.35,first game grand,,26,,,
3814,2026-08-24T14:31:38.448Z,Richmond v Geelong 1983,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,25,,,
3796,2026-08-24T02:44:12.416Z,how many career kicks did Gary Ablett Jr have,declined_low_confidence,unsupported_term,,,,0.3642857,0.7142857142857143,1,1,0.35,gary ablett jr,,14,,,
3795,2026-08-24T02:44:12.087Z,Gary Ablett Jr career kicks,declined_low_confidence,unsupported_term,,,,0.25,0.6,1,1,0.35,gary ablett jr,,96,,,
3793,2026-08-24T02:44:11.760Z,Gary Ablett Jr most games in a game,declined_low_confidence,unsupported_term,,,,0.31666666,0.6666666666666666,1,1,0.35,gary ablett jr,,22,,,
3791,2026-08-24T02:44:11.430Z,how many career games did Gary Ablett Jr have,declined_low_confidence,unsupported_term,,,,0.3642857,0.7142857142857143,1,1,0.35,gary ablett jr,,9,,,
3789,2026-08-24T02:44:11.097Z,Gary Ablett Jr career games,declined_low_confidence,unsupported_term,,,,0.25,0.6,1,1,0.35,gary ablett jr,,9,,,
3788,2026-08-24T02:44:10.776Z,Gary Ablett Jr most goals in a game,declined_low_confidence,unsupported_term,,,,0.31666666,0.6666666666666666,1,1,0.35,gary ablett jr,,136,,,
3786,2026-08-24T02:44:10.450Z,how many career goals did Gary Ablett Jr have,declined_low_confidence,unsupported_term,,,,0.3642857,0.7142857142857143,1,1,0.35,gary ablett jr,,57,,,
3784,2026-08-24T02:44:10.084Z,Gary Ablett Jr career goals,declined_low_confidence,unsupported_term,,,,0.25,0.6,1,1,0.35,gary ablett jr,,9,,,
3496,2026-08-24T02:43:18.516Z,Carlton draws against Brisbane Lions,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,119,,,
3493,2026-08-24T02:43:18.126Z,how many draws between Carlton and Brisbane Lions,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,125,,,
3491,2026-08-24T02:43:17.780Z,last draw between Carlton and Sydney,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,172,,,
3488,2026-08-24T02:43:17.386Z,Carlton draws against Sydney,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,77,,,
3485,2026-08-24T02:43:17.004Z,how many draws between Carlton and Sydney,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,135,,,
3483,2026-08-24T02:43:16.667Z,last draw between Carlton and Western Bulldogs,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,130,,,
3480,2026-08-24T02:43:16.265Z,Carlton draws against Western Bulldogs,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,154,,,
3477,2026-08-24T02:43:15.859Z,how many draws between Carlton and Western Bulldogs,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,136,,,
3474,2026-08-24T02:43:15.504Z,last draw between Carlton and St Kilda,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,116,,,
3471,2026-08-24T02:43:15.087Z,Carlton draws against St Kilda,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,98,,,
3468,2026-08-24T02:43:14.548Z,how many draws between Carlton and St Kilda,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,130,,,
3465,2026-08-24T02:43:14.193Z,last draw between Carlton and North Melbourne,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,107,,,
3462,2026-08-24T02:43:13.813Z,Carlton draws against North Melbourne,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,103,,,
3459,2026-08-24T02:43:13.318Z,how many draws between Carlton and North Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,132,,,
3456,2026-08-24T02:43:12.713Z,last draw between Carlton and Melbourne,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,99,,,
3453,2026-08-24T02:43:12.343Z,Carlton draws against Melbourne,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,79,,,
3450,2026-08-24T02:43:12.023Z,how many draws between Carlton and Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,121,,,
3448,2026-08-24T02:43:11.564Z,last draw between Carlton and Hawthorn,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,134,,,
3445,2026-08-24T02:43:11.175Z,Carlton draws against Hawthorn,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,84,,,
3442,2026-08-24T02:43:10.723Z,how many draws between Carlton and Hawthorn,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,125,,,
3439,2026-08-24T02:43:10.290Z,last draw between Carlton and Geelong,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,170,,,
3436,2026-08-24T02:43:09.869Z,Carlton draws against Geelong,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,81,,,
3433,2026-08-24T02:43:09.536Z,how many draws between Carlton and Geelong,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,117,,,
3430,2026-08-24T02:43:09.150Z,last draw between Carlton and Essendon,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,106,,,
3427,2026-08-24T02:43:08.722Z,Carlton draws against Essendon,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,83,,,
3424,2026-08-24T02:43:08.318Z,how many draws between Carlton and Essendon,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,110,,,
3422,2026-08-24T02:43:07.916Z,last draw between Carlton and Collingwood,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,118,,,
3419,2026-08-24T02:43:07.513Z,Carlton draws against Collingwood,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,124,,,
3417,2026-08-24T02:43:07.151Z,how many draws between Carlton and Collingwood,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,115,,,
3414,2026-08-24T02:43:06.734Z,last draw between Richmond and Gold Coast,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,110,,,
3411,2026-08-24T02:43:06.332Z,Richmond draws against Gold Coast,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,87,,,
3408,2026-08-24T02:43:05.936Z,how many draws between Richmond and Gold Coast,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,157,,,
3405,2026-08-24T02:43:05.542Z,last draw between Richmond and GWS,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,101,,,
3402,2026-08-24T02:43:05.046Z,Richmond draws against GWS,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,84,,,
3399,2026-08-24T02:43:04.694Z,how many draws between Richmond and GWS,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,106,,,
3396,2026-08-24T02:43:04.312Z,last draw between Richmond and Fremantle,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,136,,,
3393,2026-08-24T02:43:03.874Z,Richmond draws against Fremantle,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,95,,,
3390,2026-08-24T02:43:03.512Z,how many draws between Richmond and Fremantle,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,111,,,
3389,2026-08-24T02:43:03.130Z,last draw between Richmond and West Coast,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,241,,,
3386,2026-08-24T02:43:02.647Z,Richmond draws against West Coast,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,94,,,
3385,2026-08-24T02:43:02.552Z,teams with at most 2 losses against St Kilda,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,135,,,
3382,2026-08-24T02:43:02.257Z,how many draws between Richmond and West Coast,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,140,,,
3378,2026-08-24T02:43:01.840Z,last draw between Richmond and Port Adelaide,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,118,,,
3374,2026-08-24T02:43:01.508Z,Richmond draws against Port Adelaide,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,113,,,
3372,2026-08-24T02:43:01.045Z,teams with at most 2 wins against St Kilda,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,144,,,
3371,2026-08-24T02:43:00.838Z,how many draws between Richmond and Port Adelaide,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,151,,,
3367,2026-08-24T02:43:00.386Z,last draw between Richmond and Adelaide,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,143,,,
3363,2026-08-24T02:42:59.926Z,Richmond draws against Adelaide,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,104,,,
3360,2026-08-24T02:42:59.517Z,how many draws between Richmond and Adelaide,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,157,,,
3357,2026-08-24T02:42:59.167Z,last draw between Richmond and Brisbane Lions,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,140,,,
3353,2026-08-24T02:42:58.714Z,Richmond draws against Brisbane Lions,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,105,,,
3349,2026-08-24T02:42:58.354Z,how many draws between Richmond and Brisbane Lions,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,135,,,
3347,2026-08-24T02:42:57.714Z,teams with at most 2 losses against North Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,126,,,
3346,2026-08-24T02:42:57.713Z,last draw between Richmond and Sydney,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,118,,,
3342,2026-08-24T02:42:57.244Z,Richmond draws against Sydney,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,95,,,
3340,2026-08-24T02:42:56.840Z,how many draws between Richmond and Sydney,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,136,,,
3337,2026-08-24T02:42:56.487Z,last draw between Richmond and Western Bulldogs,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,124,,,
3336,2026-08-24T02:42:56.187Z,teams with at most 2 wins against North Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,135,,,
3333,2026-08-24T02:42:55.918Z,Richmond draws against Western Bulldogs,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,143,,,
3330,2026-08-24T02:42:55.440Z,how many draws between Richmond and Western Bulldogs,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,185,,,
3326,2026-08-24T02:42:55.022Z,last draw between Richmond and St Kilda,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,130,,,
3323,2026-08-24T02:42:54.596Z,Richmond draws against St Kilda,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,120,,,
3319,2026-08-24T02:42:54.143Z,how many draws between Richmond and St Kilda,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,147,,,
3315,2026-08-24T02:42:53.635Z,last draw between Richmond and North Melbourne,declined_low_confidence,unsupported_term,,,,0.48333332,0.8333333333333334,1,1,0.35,last between,,136,,,
3311,2026-08-24T02:42:53.238Z,Richmond draws against North Melbourne,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,124,,,
3309,2026-08-24T02:42:52.719Z,teams with at most 2 losses against Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,151,,,
3307,2026-08-24T02:42:52.507Z,how many draws between Richmond and North Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,158,,,
3303,2026-08-24T02:42:52.159Z,last draw between Richmond and Melbourne,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,109,,,
3299,2026-08-24T02:42:51.704Z,Richmond draws against Melbourne,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,103,,,
3297,2026-08-24T02:42:51.016Z,how many draws between Richmond and Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,222,,,
3296,2026-08-24T02:42:51.015Z,teams with at most 2 wins against Melbourne,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,127,,,
3293,2026-08-24T02:42:50.579Z,last draw between Richmond and Hawthorn,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,116,,,
3289,2026-08-24T02:42:50.040Z,Richmond draws against Hawthorn,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,96,,,
3285,2026-08-24T02:42:49.634Z,how many draws between Richmond and Hawthorn,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,129,,,
3280,2026-08-24T02:42:48.977Z,last draw between Richmond and Geelong,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,107,,,
3276,2026-08-24T02:42:48.506Z,Richmond draws against Geelong,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,99,,,
3273,2026-08-24T02:42:48.154Z,how many draws between Richmond and Geelong,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,216,,,
3270,2026-08-24T02:42:47.669Z,last draw between Richmond and Essendon,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,107,,,
3269,2026-08-24T02:42:47.574Z,teams with at most 2 losses against Hawthorn,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,143,,,
3266,2026-08-24T02:42:47.283Z,Richmond draws against Essendon,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,83,,,
3262,2026-08-24T02:42:46.807Z,how many draws between Richmond and Essendon,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,152,,,
3260,2026-08-24T02:42:46.479Z,last draw between Richmond and Collingwood,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,170,,,
3257,2026-08-24T02:42:46.005Z,teams with at most 2 wins against Hawthorn,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,142,,,
3256,2026-08-24T02:42:45.792Z,Richmond draws against Collingwood,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,141,,,
3252,2026-08-24T02:42:45.368Z,how many draws between Richmond and Collingwood,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,136,,,
3248,2026-08-24T02:42:44.937Z,last draw between Richmond and Carlton,declined_low_confidence,unsupported_term,,,,0.45,0.8,1,1,0.35,last between,,177,,,
3245,2026-08-24T02:42:44.437Z,Richmond draws against Carlton,unanswerable,coverage_unavailable,,player_game,draws,1,1,1,1,0,,,126,,,
3241,2026-08-24T02:42:44.012Z,how many draws between Richmond and Carlton,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,between,,127,,,
3237,2026-08-24T02:42:43.664Z,Carlton record against Brisbane Lions,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,136,,,
3235,2026-08-24T02:42:42.982Z,Carlton v Brisbane Lions head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,144,,,
3233,2026-08-24T02:42:42.650Z,who has won more Carlton or Sydney,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,136,,,
3229,2026-08-24T02:42:42.299Z,Carlton record against Sydney,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,118,,,
3227,2026-08-24T02:42:42.130Z,teams with at most 2 losses against Geelong,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,130,,,
3225,2026-08-24T02:42:41.401Z,Carlton v Sydney head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,148,,,
3222,2026-08-24T02:42:41.017Z,who has won more Carlton or Western Bulldogs,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,121,,,
3219,2026-08-24T02:42:40.700Z,Carlton record against Western Bulldogs,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,112,,,
3215,2026-08-24T02:42:40.047Z,Carlton v Western Bulldogs head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,111,,,
3214,2026-08-24T02:42:39.550Z,teams with at most 2 wins against Geelong,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,126,,,
3212,2026-08-24T02:42:39.433Z,who has won more Carlton or St Kilda,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,108,,,
3209,2026-08-24T02:42:39.109Z,Carlton record against St Kilda,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,138,,,
3205,2026-08-24T02:42:38.355Z,Carlton v St Kilda head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,157,,,
3201,2026-08-24T02:42:37.861Z,who has won more Carlton or North Melbourne,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,110,,,
3199,2026-08-24T02:42:37.582Z,Carlton record against North Melbourne,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,128,,,
3196,2026-08-24T02:42:36.863Z,Carlton v North Melbourne head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,113,,,
3192,2026-08-24T02:42:36.525Z,who has won more Carlton or Melbourne,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,105,,,
3190,2026-08-24T02:42:36.211Z,Carlton record against Melbourne,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,109,,,
3187,2026-08-24T02:42:35.377Z,Carlton v Melbourne head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,125,,,
3186,2026-08-24T02:42:35.276Z,teams with at most 2 losses against Essendon,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,126,,,
3183,2026-08-24T02:42:35.000Z,who has won more Carlton or Hawthorn,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,113,,,
3182,2026-08-24T02:42:34.707Z,Carlton record against Hawthorn,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,104,,,
3178,2026-08-24T02:42:34.023Z,Carlton v Hawthorn head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,122,,,
3174,2026-08-24T02:42:33.715Z,who has won more Carlton or Geelong,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,104,,,
3173,2026-08-24T02:42:33.195Z,Carlton record against Geelong,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,119,,,
3172,2026-08-24T02:42:33.193Z,teams with at most 2 wins against Essendon,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,187,,,
3169,2026-08-24T02:42:32.533Z,Carlton v Geelong head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,107,,,
3165,2026-08-24T02:42:32.093Z,who has won more Carlton or Essendon,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,102,,,
3162,2026-08-24T02:42:31.772Z,Carlton record against Essendon,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,128,,,
3160,2026-08-24T02:42:31.023Z,Carlton v Essendon head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,152,,,
3156,2026-08-24T02:42:30.682Z,who has won more Carlton or Collingwood,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,115,,,
3154,2026-08-24T02:42:30.415Z,Carlton record against Collingwood,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,110,,,
3151,2026-08-24T02:42:29.728Z,Carlton v Collingwood head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,106,,,
3147,2026-08-24T02:42:29.417Z,who has won more Richmond or Gold Coast,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,118,,,
3145,2026-08-24T02:42:28.878Z,Richmond record against Gold Coast,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,117,,,
3144,2026-08-24T02:42:28.874Z,teams with at most 2 losses against Collingwood,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,178,,,
3142,2026-08-24T02:42:28.207Z,Richmond v Gold Coast head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,122,,,
3139,2026-08-24T02:42:27.850Z,who has won more Richmond or GWS,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,95,,,
3137,2026-08-24T02:42:27.497Z,Richmond record against GWS,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,101,,,
3133,2026-08-24T02:42:27.136Z,Richmond v GWS head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,62,,,
3132,2026-08-24T02:42:26.774Z,teams with at most 2 wins against Collingwood,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,120,,,
3129,2026-08-24T02:42:26.581Z,who has won more Richmond or Fremantle,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,101,,,
3126,2026-08-24T02:42:26.283Z,Richmond record against Fremantle,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,115,,,
3124,2026-08-24T02:42:25.568Z,Richmond v Fremantle head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,140,,,
3121,2026-08-24T02:42:25.164Z,who has won more Richmond or West Coast,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,116,,,
3117,2026-08-24T02:42:24.708Z,Richmond record against West Coast,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,143,,,
3113,2026-08-24T02:42:24.085Z,Richmond v West Coast head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,411,,,
3110,2026-08-24T02:42:23.265Z,who has won more Richmond or Port Adelaide,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,155,,,
3107,2026-08-24T02:42:22.751Z,Richmond record against Port Adelaide,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,131,,,
3105,2026-08-24T02:42:22.711Z,teams with at most 2 losses against Carlton,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,128,,,
3103,2026-08-24T02:42:21.983Z,Richmond v Port Adelaide head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,132,,,
3099,2026-08-24T02:42:21.593Z,who has won more Richmond or Adelaide,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,102,,,
3097,2026-08-24T02:42:21.282Z,Richmond record against Adelaide,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,94,,,
3093,2026-08-24T02:42:20.127Z,Richmond v Adelaide head to head,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,103,,,
3092,2026-08-24T02:42:19.564Z,teams with at most 2 wins against Carlton,declined_ambiguous,ambiguous_player,,,,0.65,1,1,1,0.35,most,,109,,,
3089,2026-08-24T02:42:19.451Z,who has won more Richmond or Brisbane Lions,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,107,,,
3088,2026-08-24T02:42:19.135Z,Richmond record against Brisbane Lions,unrecognised,unrecognised,,,,0.3,1,1,0.3,0,,,135,,,
