"id","category","question","expected","outcome","headline","interpretation","tags"
"exp_0217","advanced_metric","most clearances in a season","plan","absent",,,"advanced,season"
"exp_0221","advanced_metric","most clangers in a season","plan","absent",,,"advanced,season"
"exp_0225","advanced_metric","most contested possessions in a season","plan","absent",,,"advanced,season"
"exp_0229","advanced_metric","most uncontested possessions in a season","plan","absent",,,"advanced,season"
"exp_0236","collision","players with most 1 games","decline","answered","13,361 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0241","collision","players with most 2 games","decline","answered","12,241 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0246","collision","players with most 3 games","decline","answered","11,348 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0251","collision","players with most 4 games","decline","answered","10,755 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0256","collision","players with most 5 games","decline","answered","10,250 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0261","collision","players with most 10 games","decline","answered","8,573 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0266","collision","players with most 20 games","decline","answered","6,789 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0271","collision","players with most 50 games","decline","answered","4,481 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0276","collision","players with most 100 games","decline","answered","2,561 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0281","collision","players with most 200 games","decline","answered","721 players match","Players meeting every condition asked for.","most_number_collision"
"exp_0308","debut_boundary","most goals in debut season","plan","absent",,,"debut_season"
"exp_0312","debut_boundary","most marks in debut season","plan","absent",,,"debut_season"
"exp_0316","debut_boundary","most disposals in debut season","plan","absent",,,"debut_season"
"exp_0327","stratified_player_game","most goalss by a Richmond player against Collingwood","plan","absent",,,"player_game"
"exp_0329","stratified_season","most handballss in 1967","plan","absent",,,"season"
"exp_0330","stratified_final","most kickss in a final at Marvel","plan","absent",,,"final,venue"
"exp_0331","stratified_player_game","most markss by a Geelong player against Geelong","plan","absent",,,"player_game"
"exp_0333","stratified_season","most goalss in 1971","plan","absent",,,"season"
"exp_0334","stratified_final","most disposalss in a final at Adelaide Oval","plan","absent",,,"final,venue"
"exp_0335","stratified_player_game","most handballss by a Brisbane Lions player against Collingwood","plan","absent",,,"player_game"
"exp_0337","stratified_season","most markss in 1975","plan","absent",,,"season"
"exp_0339","stratified_player_game","most goalss by a Carlton player against Geelong","plan","absent",,,"player_game"
"exp_0341","stratified_season","most handballss in 1979","plan","absent",,,"season"
"exp_0342","stratified_final","most kickss in a final at Optus Stadium","plan","absent",,,"final,venue"
"exp_0343","stratified_player_game","most markss by a Melbourne player against Collingwood","plan","absent",,,"player_game"
"exp_0345","stratified_season","most goalss in 1983","plan","absent",,,"season"
"exp_0346","stratified_final","most disposalss in a final at Gabba","plan","absent",,,"final,venue"
"exp_0347","stratified_player_game","most handballss by a Richmond player against Geelong","plan","absent",,,"player_game"
"exp_0349","stratified_season","most markss in 1987","plan","absent",,,"season"
"exp_0351","stratified_player_game","most goalss by a Geelong player against Collingwood","plan","absent",,,"player_game"
"exp_0353","stratified_season","most handballss in 1991","plan","absent",,,"season"
"exp_0354","stratified_final","most kickss in a final at Adelaide Oval","plan","absent",,,"final,venue"
"exp_0355","stratified_player_game","most markss by a Brisbane Lions player against Geelong","plan","absent",,,"player_game"
"exp_0357","stratified_season","most goalss in 1995","plan","absent",,,"season"
"exp_0358","stratified_final","most disposalss in a final at Football Park","plan","absent",,,"final,venue"
"exp_0359","stratified_player_game","most handballss by a Carlton player against Collingwood","plan","absent",,,"player_game"
"exp_0361","stratified_season","most markss in 1999","plan","absent",,,"season"
"exp_0363","stratified_player_game","most goalss by a Melbourne player against Geelong","plan","absent",,,"player_game"
"exp_0365","stratified_season","most handballss in 2003","plan","absent",,,"season"
"exp_0366","stratified_final","most kickss in a final at Gabba","plan","absent",,,"final,venue"
"exp_0367","stratified_player_game","most markss by a Richmond player against Collingwood","plan","absent",,,"player_game"
"exp_0369","stratified_season","most goalss in 2007","plan","absent",,,"season"
"exp_0370","stratified_final","most disposalss in a final at Marvel","plan","absent",,,"final,venue"
"exp_0371","stratified_player_game","most handballss by a Geelong player against Geelong","plan","absent",,,"player_game"
"exp_0373","stratified_season","most markss in 2011","plan","absent",,,"season"
"exp_0375","stratified_player_game","most goalss by a Brisbane Lions player against Collingwood","plan","absent",,,"player_game"
"exp_0377","stratified_season","most handballss in 2015","plan","absent",,,"season"
"exp_0378","stratified_final","most kickss in a final at Football Park","plan","absent",,,"final,venue"
"exp_0379","stratified_player_game","most markss by a Carlton player against Geelong","plan","absent",,,"player_game"
"exp_0381","stratified_season","most goalss in 2019","plan","absent",,,"season"
"exp_0382","stratified_final","most disposalss in a final at Optus Stadium","plan","absent",,,"final,venue"
"exp_0383","stratified_player_game","most handballss by a Melbourne player against Collingwood","plan","absent",,,"player_game"
"exp_0385","stratified_season","most markss in 2023","plan","absent",,,"season"
"exp_0387","stratified_player_game","most goalss by a Richmond player against Geelong","plan","absent",,,"player_game"
"exp_0389","stratified_season","most handballss in 1967","plan","absent",,,"season"
"exp_0390","stratified_final","most kickss in a final at Marvel","plan","absent",,,"final,venue"
"exp_0391","stratified_player_game","most markss by a Geelong player against Collingwood","plan","absent",,,"player_game"
"exp_0393","stratified_season","most goalss in 1971","plan","absent",,,"season"
"exp_0394","stratified_final","most disposalss in a final at Adelaide Oval","plan","absent",,,"final,venue"
"exp_0395","stratified_player_game","most handballss by a Brisbane Lions player against Geelong","plan","absent",,,"player_game"
"exp_0397","stratified_season","most markss in 1975","plan","absent",,,"season"
"exp_0399","stratified_player_game","most goalss by a Carlton player against Collingwood","plan","absent",,,"player_game"
"exp_0401","stratified_season","most handballss in 1979","plan","absent",,,"season"
"exp_0402","stratified_final","most kickss in a final at Optus Stadium","plan","absent",,,"final,venue"
"exp_0403","stratified_player_game","most markss by a Melbourne player against Geelong","plan","absent",,,"player_game"
"exp_0405","stratified_season","most goalss in 1983","plan","absent",,,"season"
"exp_0406","stratified_final","most disposalss in a final at Gabba","plan","absent",,,"final,venue"
"exp_0407","stratified_player_game","most handballss by a Richmond player against Collingwood","plan","absent",,,"player_game"
"exp_0409","stratified_season","most markss in 1987","plan","absent",,,"season"
"exp_0411","stratified_player_game","most goalss by a Geelong player against Geelong","plan","absent",,,"player_game"
"exp_0413","stratified_season","most handballss in 1991","plan","absent",,,"season"
"exp_0414","stratified_final","most kickss in a final at Adelaide Oval","plan","absent",,,"final,venue"
"exp_0415","stratified_player_game","most markss by a Brisbane Lions player against Collingwood","plan","absent",,,"player_game"
"exp_0417","stratified_season","most goalss in 1995","plan","absent",,,"season"
"exp_0418","stratified_final","most disposalss in a final at Football Park","plan","absent",,,"final,venue"
"exp_0419","stratified_player_game","most handballss by a Carlton player against Geelong","plan","absent",,,"player_game"
"exp_0421","stratified_season","most markss in 1999","plan","absent",,,"season"
"exp_0423","stratified_player_game","most goalss by a Melbourne player against Collingwood","plan","absent",,,"player_game"
"exp_0425","stratified_season","most handballss in 2003","plan","absent",,,"season"
"exp_0426","stratified_final","most kickss in a final at Gabba","plan","absent",,,"final,venue"
"exp_0427","stratified_player_game","most markss by a Richmond player against Geelong","plan","absent",,,"player_game"
"exp_0429","stratified_season","most goalss in 2007","plan","absent",,,"season"
"exp_0430","stratified_final","most disposalss in a final at Marvel","plan","absent",,,"final,venue"
"exp_0431","stratified_player_game","most handballss by a Geelong player against Collingwood","plan","absent",,,"player_game"
"exp_0433","stratified_season","most markss in 2011","plan","absent",,,"season"
"exp_0435","stratified_player_game","most goalss by a Brisbane Lions player against Geelong","plan","absent",,,"player_game"
"exp_0437","stratified_season","most handballss in 2015","plan","absent",,,"season"
"exp_0438","stratified_final","most kickss in a final at Football Park","plan","absent",,,"final,venue"
"exp_0439","stratified_player_game","most markss by a Carlton player against Collingwood","plan","absent",,,"player_game"
"exp_0441","stratified_season","most goalss in 2019","plan","absent",,,"season"
"exp_0442","stratified_final","most disposalss in a final at Optus Stadium","plan","absent",,,"final,venue"
"exp_0443","stratified_player_game","most handballss by a Melbourne player against Geelong","plan","absent",,,"player_game"
"exp_0445","stratified_season","most markss in 2023","plan","absent",,,"season"
"exp_0447","stratified_player_game","most goalss by a Richmond player against Collingwood","plan","absent",,,"player_game"
"exp_0449","stratified_season","most handballss in 1967","plan","absent",,,"season"
"exp_0450","stratified_final","most kickss in a final at Marvel","plan","absent",,,"final,venue"
"exp_0451","stratified_player_game","most markss by a Geelong player against Geelong","plan","absent",,,"player_game"
"exp_0453","stratified_season","most goalss in 1971","plan","absent",,,"season"
"exp_0454","stratified_final","most disposalss in a final at Adelaide Oval","plan","absent",,,"final,venue"
"exp_0455","stratified_player_game","most handballss by a Brisbane Lions player against Collingwood","plan","absent",,,"player_game"
"exp_0457","stratified_season","most markss in 1975","plan","absent",,,"season"
"exp_0459","stratified_player_game","most goalss by a Carlton player against Geelong","plan","absent",,,"player_game"
"exp_0461","stratified_season","most handballss in 1979","plan","absent",,,"season"
"exp_0462","stratified_final","most kickss in a final at Optus Stadium","plan","absent",,,"final,venue"
"exp_0463","stratified_player_game","most markss by a Melbourne player against Collingwood","plan","absent",,,"player_game"
"exp_0465","stratified_season","most goalss in 1983","plan","absent",,,"season"
"exp_0466","stratified_final","most disposalss in a final at Gabba","plan","absent",,,"final,venue"
"exp_0467","stratified_player_game","most handballss by a Richmond player against Geelong","plan","absent",,,"player_game"
"exp_0469","stratified_season","most markss in 1987","plan","absent",,,"season"
"exp_0471","stratified_player_game","most goalss by a Geelong player against Collingwood","plan","absent",,,"player_game"
"exp_0473","stratified_season","most handballss in 1991","plan","absent",,,"season"
"exp_0474","stratified_final","most kickss in a final at Adelaide Oval","plan","absent",,,"final,venue"
"exp_0475","stratified_player_game","most markss by a Brisbane Lions player against Geelong","plan","absent",,,"player_game"
"exp_0477","stratified_season","most goalss in 1995","plan","absent",,,"season"
"exp_0478","stratified_final","most disposalss in a final at Football Park","plan","absent",,,"final,venue"
"exp_0479","stratified_player_game","most handballss by a Carlton player against Collingwood","plan","absent",,,"player_game"
"exp_0481","stratified_season","most markss in 1999","plan","absent",,,"season"
"exp_0483","stratified_player_game","most goalss by a Melbourne player against Geelong","plan","absent",,,"player_game"
"exp_0485","stratified_season","most handballss in 2003","plan","absent",,,"season"
"exp_0486","stratified_final","most kickss in a final at Gabba","plan","absent",,,"final,venue"
"exp_0487","stratified_player_game","most markss by a Richmond player against Collingwood","plan","absent",,,"player_game"
"exp_0489","stratified_season","most goalss in 2007","plan","absent",,,"season"
"exp_0490","stratified_final","most disposalss in a final at Marvel","plan","absent",,,"final,venue"
"exp_0491","stratified_player_game","most handballss by a Geelong player against Geelong","plan","absent",,,"player_game"
"exp_0493","stratified_season","most markss in 2011","plan","absent",,,"season"
"exp_0495","stratified_player_game","most goalss by a Brisbane Lions player against Collingwood","plan","absent",,,"player_game"
"exp_0497","stratified_season","most handballss in 2015","plan","absent",,,"season"
"exp_0498","stratified_final","most kickss in a final at Football Park","plan","absent",,,"final,venue"
"exp_0499","stratified_player_game","most markss by a Carlton player against Geelong","plan","absent",,,"player_game"
"exp_0501","stratified_season","most goalss in 2019","plan","absent",,,"season"
